# ingredients --> drip coffee - brewing_coffee,,
input,,
"# ingredients --> iced chocolate, make_iced_chocolate",,
input,,
real,ice_cube.n.01_(i),
real,ice_cube.n.01_(j),
real,cocoa_powder.n.01_(k),
real,whole_milk.n.01_(l),
real,granulated_sugar.n.01_(m),
real,vanilla.n.02_(n),
transition machine,,
real,blender.n.01_(o),
output,,
real,iced_chocolate.n.01_(p),
,,
"# ingredients --> jerk seasoning, make_jamaican_jerk_seasoning",,
input,,
real,brown_sugar.n.01_(i),
real,chili.n.02_(j),
real,cayenne.n.02_(k),
real,clove.n.03_(l),
real,clove.n.03_(m),
transition machine,,
real,blender.n.01_(n),
output,,
real,jerk_seasoning.n.01_(o),
,,
"# ingredients --> lemon pepper seasoning, make_lemon_pepper_seasoning",,
input,,
real,black_pepper.n.02_(i),
real,lemon_peel.n.01_(j),
real,salt.n.02_(k),
real,lemon_juice.n.01_(l),
transition machine,,
real,blender.n.01_(m),
output,,
real,lemon-pepper_seasoning.n.01_(n),
,,
"# ingredients --> mustard seasoning, make_mustard_herb_and_spice_seasoning",,
input,,
real,mustard_seed.n.01_(i),
real,sage.n.02_(j),
real,cumin.n.02_(k),
real,clove.n.03_(l),
real,clove.n.03_(m),
real,rosemary.n.02_(n),
real,salt.n.02_(o),
transition machine,,
real,blender.n.01_(p),
output,,
real,mustard_seasoning.n.01_(q),
,,
"# ingredients --> smoothie, make_popsicles",,
input,,
real,raspberry.n.02_(i),
real,raspberry.n.02_(j),
real,raspberry.n.02_(k),
real,raspberry.n.02_(l),
real,raspberry.n.02_(m),
real,raspberry.n.02_(n),
real,strawberry.n.01_(o),
real,strawberry.n.01_(p),
real,strawberry.n.01_(q),
real,strawberry.n.01_(r),
real,lemon_juice.n.01_(s),
real,yogurt.n.01_(t),
real,honey.n.01_(u),
transition machine,,
real,blender.n.01_(v),
output,,
real,smoothie.n.02_(w),
,,
"# ingredients --> tomato rice, make_tomato_rice",,
input,,
real,white_rice.n.01_(i),
real,diced__beefsteak_tomato.n.01_(j),
real,diced__vidalia_onion.n.01_(k),
real,olive_oil.n.01_(l),
real,chicken_broth.n.01_(m),
transition machine,,
real,crock_pot.n.01_(n),
output,,
real,tomato_rice.n.01_(o),
,,
"# waffle batter --> one waffle, make_waffles",,
input,,
real,waffle_batter.n.01_(i),
transition machine,,
real,waffle_iron.n.01_(j),
output,,
real,waffle.n.01_(k),
cooked,waffle.n.01_(k),
hot,waffle.n.01_(k),
,,
"# ingredients --> fruit punch, make_watermelon_punch",,
input,,
real,diced__watermelon.n.01_(i),
real,lemonade.n.01_(j),
real,lemon_juice.n.01_(k),
real,tonic.n.01_(l),
transition machine,,
real,blender.n.01_(m),
output,,
real,fruit_punch.n.01_(n),
contains,blender.n.01_(m),fruit_punch.n.01_(n)
,,
# ingredients --> making coffee,,
input,,
real,coffee_bean.n.01_(i),
real,water.n.06_(j),
transition machine,,
real,coffee_maker.n.01_(k),
output,,
real,drip_coffee.n.01_(l),
