"Name","Synset State","Custom?","Leaf?","Definition","Parents","Children","Tasks","Direct Categories","Direct Objects","Total Objects","Requiring Task Count"
"atomizer.n.01","Ready","False","True","a dispenser that turns a liquid (such as perfume) into a fine mist","dispenser.n.01,","","buying_cleaning_supplies-0,","spray_bottle,","4","4","1"
"avocado.n.01","Ready","False","True","a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed","edible_fruit.n.01,","","buy_a_good_avocado-0,                         make_a_salad-0,                         make_an_egg_tomato_and_toast_breakfast-0,                         make_nachos-0,","avocado,","1","1","4"
"ax.n.01","Ready","False","True","an edge tool with a heavy bladed head mounted across a handle","edge_tool.n.01,","","chopping_wood-0,","axe,","1","1","1"
"baby_oil.n.01","Substance","False","True","an ointment for babies","ointment.n.01,","","clean_mirrors-0,                         clean_pearls-0,","baby_oil,","0","0","2"
"baby_shoe.n.01","Ready","False","True","a shoe designed to be worn by infants","shoe.n.01,","","store_baby_clothes-0,","baby_shoe,","2","2","1"
"backpack.n.01","Ready","False","True","a bag carried by a strap on your back or shoulder","bag.n.01,","","buy_school_supplies-0,                         buy_school_supplies_for_high_school-0,                         carrying_water-0,                         clean_a_backpack-0,                         make_a_car_emergency_kit-0,                         organizing_school_stuff-0,                         packing_bags_or_suitcase-0,                         packing_cleaning_suppies_into_car-0,                         packing_hiking_equipment_into_car-0,                         packing_meal_for_delivery-0,                       ...","backpack,","3","3","18"
"bacon.n.01","Ready","False","True","back and sides of a hog salted and dried or smoked; usually sliced thin and fried","cut_of_pork.n.01,","","carrying_in_groceries-0,                         cook_bacon-0,","bacon,","3","3","2"
"bag.n.04","Ready","False","False","a container used for carrying money and small personal items or accessories (especially by women)","container.n.01,","shoulder_bag.n.01,","buy_basic_garden_tools-0,                         clean_a_purse-0,","","0","14","2"
"bag.n.06","Ready","False","True","a portable rectangular container for carrying clothes","baggage.n.01,","","clean_a_suitcase-0,                         hanging_flags-0,                         loading_the_car-0,                         packing_art_supplies_into_car-0,                         packing_books_into_car-0,                         packing_car_for_trip-0,                         packing_picnic_food_into_car-0,                         picking_up_baggage-0,                         unloading_the_car-0,                         unpacking_car_for_trip-0,                       ...","suitcase,","4","4","11"
"bag__of__brown_rice.n.01","Ready","True","True","","grocery.n.02,","","buying_groceries-0,","bag_of_brown_rice,","1","1","1"
"bag__of__chips.n.01","Ready","True","True","","grocery.n.02,","","cleaning_debris_out_of_car-0,","bag_of_chips,","7","7","1"
"bag__of__cocoa.n.01","Ready","True","True","","grocery.n.02,","","buy_good_chocolate-0,","bag_of_cocoa,","1","1","1"
"bag__of__cream_cheese.n.01","Ready","True","True","","grocery.n.02,","","shopping_at_warehouse_stores-0,","bag_of_cream_cheese,","1","1","1"
"bag__of__jerky.n.01","Ready","True","True","","grocery.n.02,","","loading_shopping_into_car-0,                         stash_snacks_in_your_room-0,","bag_of_jerky,","1","1","2"
"bag__of__mulch.n.01","Ready","True","True","","grocery.n.02,","","buy_mulch-0,                         buying_gardening_supplies-0,","bag_of_mulch,","1","1","2"
"bag__of__rubbish.n.01","Ready","True","True","","waste.n.01,","","taking_trash_outside-0,","bag_of_rubbish,","1","1","1"
"bagel.n.01","Ready","False","True","(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust","bun.n.01,","","make_bagels-0,                         packing_recreational_vehicle_for_trip-0,","bagel,","1","1","2"
"baguet.n.01","Ready","False","True","narrow French stick loaf","french_bread.n.01,","","shopping_at_warehouse_stores-0,","baguette,","4","4","1"
"bait.n.01","Ready","False","True","anything that serves as an enticement","temptation.n.01,","","clean_fishing_lures-0,                         packing_fishing_gear_into_car-0,","bait,","1","1","2"
"baking_powder.n.01","Substance","False","True","any of various powdered mixtures used in baking as a substitute for yeast","leaven.n.01,","","baking_cookies_for_the_PTA_bake_sale-0,                         baking_sugar_cookies-0,                         make_batter-0,                         make_biscuits-0,                         make_cake_mix-0,                         make_cookie_dough-0,                         make_cookies-0,                         make_muffins-0,                         make_waffles-0,","baking_powder,","1","1","9"
"baking_powder__jar.n.01","Ready","True","True","","vessel.n.03,","","baking_cookies_for_the_PTA_bake_sale-0,                         baking_sugar_cookies-0,                         make_batter-0,                         make_biscuits-0,                         make_cake_mix-0,                         make_cookie_dough-0,                         make_cookies-0,                         make_muffins-0,                         make_waffles-0,","baking_powder_jar,","1","1","9"
"ball.n.01","Ready","False","False","round object that is hit or thrown or kicked in games","game_equipment.n.01,","baseball.n.02,                         bowling_ball.n.01,                         pool_ball.n.01,                         punching_bag.n.02,                         soccer_ball.n.01,                         softball.n.01,                         tennis_ball.n.01,                         volleyball.n.02,","organizing_boxes_in_garage-0,                         sorting_items_for_garage_sale-0,                         wash_dog_toys-0,","","0","10","3"
"balloon.n.01","Ready","False","True","large tough nonrigid bag filled with gas or heated air","lighter-than-air_craft.n.01,","","decorating_outside_for_parties-0,","balloon,","1","1","1"
"banana.n.02","Ready","False","True","elongated crescent-shaped yellow fruit with soft sweet flesh","edible_fruit.n.01,","","buying_groceries-0,                         clearing_table_after_breakfast-0,                         composting_waste-0,","banana,                         bunch_of_bananas,","5","5","3"
"bandage.n.01","Ready","False","True","a piece of soft material that covers and protects an injured part of the body","dressing.n.04,","","buy_home_use_medical_supplies-0,","bandage,","1","1","1"
"bandanna.n.01","Ready","False","True","large and brightly colored handkerchief; often used as a neckerchief","handkerchief.n.01,","","fold_bandanas-0,                         sorting_volunteer_materials-0,                         taking_clothes_out_of_the_dryer-0,","bandana,","1","1","3"
"bap.n.01","Ready","False","True","a small loaf or roll of soft bread","bread.n.01,","","make_dinner_rolls-0,                         packing_grocery_bags_into_car-0,                         serving_food_on_the_table-0,                         toast_buns-0,","bap,","2","2","4"
"bar.n.02","Ready","False","True","a counter where you can obtain food or drink","counter.n.01,","","clean_wine_glasses-0,                         cleaning_glasses_off_bar-0,                         pour_a_glass_of_wine-0,                         pour_beer-0,","bar,","7","7","4"
"bar_soap.n.01","Ready","False","True","soap in the form of a bar","soap.n.01,","","cleaning_bathrooms-0,                         cleaning_bathtub-0,                         cleaning_oven-0,                         cleaning_shoes-0,                         cleaning_sneakers-0,                         cleaning_stove-0,                         cleaning_table_after_clearing-0,                         cleaning_up_refrigerator-0,                         washing_floor-0,                         washing_pots_and_pans-0,","bar_soap,","5","5","10"
"barbecue_sauce.n.01","Substance","False","True","spicy sweet and sour sauce usually based on catsup or chili sauce","sauce.n.01,","","cleaning_kitchen_knives-0,                         cook_pork_ribs-0,","barbecue_sauce,","0","0","2"
"barbecue_sauce__bottle.n.01","Ready","True","True","","vessel.n.03,","","cook_pork_ribs-0,","barbecue_sauce_bottle,","1","1","1"
"barrow.n.03","Ready","False","True","a cart for carrying small loads; has handles and one or more wheels","handcart.n.01,","","carrying_out_garden_furniture-0,                         remove_sod-0,","wheelbarrow,","1","1","2"
"baseball.n.02","Ready","False","True","a ball used in playing baseball","ball.n.01,                         baseball_equipment.n.01,","","clean_a_dirty_baseball-0,                         packing_hobby_equipment-0,","baseball,","2","2","2"
"baseball_cap.n.01","Ready","False","True","a cap with a bill","cap.n.01,","","wash_a_baseball_cap-0,","baseball_cap,","1","1","1"
"baseball_glove.n.01","Ready","False","True","the handwear used by fielders in playing baseball","baseball_equipment.n.01,","","clean_a_baseball_glove-0,                         unpacking_car_for_trip-0,","baseball_glove,","1","1","2"
"basil.n.03","Ready","False","True","leaves of the common basil; used fresh or dried","herb.n.02,","","make_a_red_meat_sauce-0,                         make_pasta_sauce-0,                         make_pizza_sauce-0,","basil,                         basil_leaf,","2","2","3"
"basil__jar.n.01","Ready","True","True","","vessel.n.03,","","make_a_red_meat_sauce-0,","basil_jar,","1","1","1"
"bat.n.05","Ready","False","False","a club used for hitting a ball in various games","club.n.03,","baseball_bat.n.01,","clean_a_softball_bat-0,","","0","3","1"
"bath_towel.n.01","Ready","False","True","a large towel; to dry yourself after a bath","bath_linen.n.01,                         towel.n.01,","","fold_towels-0,                         organise_a_linen_closet-0,                         pack_a_beach_bag-0,                         pack_for_the_pool-0,                         putting_clean_laundry_away-0,                         putting_out_clean_towels-0,                         putting_towels_in_bathroom-0,                         store_a_kayak-0,                         store_baby_clothes-0,                         taking_clothes_out_of_the_dryer-0,                       ...","bath_towel,","15","15","11"
"bathtub.n.01","Ready","False","True","a relatively large open container that you fill with water and use to wash the body","vessel.n.03,","","cleaning_bathrooms-0,                         cleaning_bathtub-0,                         cleaning_skis-0,","bathtub,","11","11","3"
"battery.n.02","Ready","False","True","a device that produces electricity; may have several primary or secondary cells arranged in parallel or series","electrical_device.n.01,","","buy_rechargeable_batteries-0,                         dispose_of_batteries-0,                         store_batteries-0,                         unpacking_hobby_equipment-0,","battery,","1","1","4"
"batting_glove.n.01","Ready","False","True","a glove worn by batters in baseball to give a firmer grip on the bat","baseball_equipment.n.01,                         glove.n.02,","","clean_batting_gloves-0,","batting_gloves,","1","1","1"
"beaten_egg.n.01","Substance","True","True","","foodstuff.n.02,","","clean_up_spilled_egg-0,","beaten_egg,","0","0","1"
"bed.n.01","Ready","False","True","a piece of furniture that provides a place to sleep","bedroom_furniture.n.01,","","brushing_lint_off_clothing-0,                         changing_sheets-0,                         clean_a_saxophone-0,                         clean_skateboard_bearings-0,                         cleaning_bedroom-0,                         cleaning_shoes-0,                         collecting_aluminum_cans-0,                         folding_clean_laundry-0,                         folding_clothes-0,                         folding_sheets-0,                       ...","bed,                         massage_bed,","31","31","31"
"beef_broth.n.01","Substance","False","True","a stock made with beef","broth.n.01,","","make_stew-0,","beef_broth,","0","0","1"
"beef_broth__carton.n.01","Ready","True","True","","box.n.01,","","make_stew-0,","beef_broth_carton,","1","1","1"
"beef_stew.n.01","Substance","False","True","a stew made with beef","stew.n.02,","","make_stew-0,                         serving_food_at_a_homeless_shelter-0,","beef_stew,","0","0","2"
"beefsteak_tomato.n.01","Ready","False","True","any of several large tomatoes with thick flesh","tomato.n.01,","","carrying_in_groceries-0,                         cook_mussels-0,                         cooking_lunch-0,                         make_chicken_curry-0,                         make_chicken_fajitas-0,                         make_nachos-0,                         make_pasta_sauce-0,                         make_pizza_sauce-0,                         make_red_beans_and_rice-0,                         make_seafood_stew-0,                       ...","beefsteak_tomato,","4","4","12"
"beer.n.01","Substance","False","True","a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops","brew.n.01,","","clean_a_beer_keg-0,                         cleaning_glasses_off_bar-0,                         passing_out_drinks-0,                         pour_beer-0,","beer,","0","0","4"
"beer_barrel.n.01","Ready","False","True","a barrel that holds beer","barrel.n.02,","","buy_a_keg-0,                         clean_a_beer_keg-0,","beer_keg,","1","1","2"
"beer_bottle.n.01","Ready","False","True","a bottle that holds beer","bottle.n.01,","","clean_your_house_after_a_wild_party-0,                         make_citrus_punch-0,                         packing_picnic_into_car-0,                         passing_out_drinks-0,                         pour_beer-0,                         setting_up_for_an_event-0,                         setup_a_bar_for_a_cocktail_party-0,                         store_beer-0,","beer_bottle,","1","1","8"
"beer_glass.n.01","Ready","False","True","a relatively large glass for serving beer","glass.n.02,","","cleaning_glasses_off_bar-0,                         passing_out_drinks-0,                         pour_beer-0,                         stock_a_bar_cart-0,","beer_glass,","3","3","4"
"beet.n.02","Ready","False","True","round red root vegetable","root_vegetable.n.01,","","picking_vegetables_in_garden-0,                         slicing_vegetables-0,","beet,","1","1","2"
"bell.n.01","Ready","False","True","a hollow device made of metal that makes a ringing sound when struck","acoustic_device.n.01,                         signaling_device.n.01,","","make_a_christmas_gift_box-0,","bell,","1","1","1"
"bell_pepper.n.02","Ready","False","True","large bell-shaped sweet pepper in green or red or yellow or orange or black varieties","sweet_pepper.n.02,","","cook_beef-0,                         cook_broccolini-0,                         cook_peppers-0,                         cook_red_peppers-0,                         filling_pepper-0,                         freeze_vegetables-0,                         make_chicken_fajitas-0,                         make_red_beans_and_rice-0,                         make_seafood_stew-0,                         prepare_make_ahead_breakfast_bowls-0,                       ...","bell_pepper,","5","5","12"
"belt.n.02","Ready","False","True","a band to tie or buckle around the body (usually at the waist)","accessory.n.01,","","buy_a_belt-0,                         clean_a_leather_belt-0,                         tidying_up_wardrobe-0,","belt,","1","1","3"
"bench.n.01","Ready","False","True","a long seat for more than one person","seat.n.03,","","clean_a_sauna-0,                         tidy_your_garden-0,","bench,                         hammam_bench,                         sauna_bench,","29","29","2"
"bicycle.n.01","Ready","False","True","a wheeled vehicle that has two wheels and is moved by foot pedals","wheeled_vehicle.n.01,","","clean_a_bicycle_chain-0,                         de_clutter_your_garage-0,                         hang_a_bike_on_the_wall-0,                         putting_away_bicycles-0,                         putting_bike_in_garage-0,                         unpacking_recreational_vehicle_for_trip-0,                         wash_your_bike-0,","bicycle,","2","2","7"
"bicycle_chain.n.01","Ready","False","True","a chain that transmits the power from the pedals to the rear wheel of a bicycle","chain.n.03,","","lube_a_bicycle_chain-0,","bicycle_chain,","1","1","1"
"bicycle_rack.n.01","Ready","False","True","a rack for parking bicycles","rack.n.01,","","hang_a_bike_on_the_wall-0,                         unpacking_recreational_vehicle_for_trip-0,","bicycle_rack,","1","1","2"
"bird_feed.n.01","Substance","False","True","food given to birds; usually mixed seeds","feed.n.01,","","filling_the_bird_feeder-0,                         putting_birdseed_in_cage-0,","bird_feed,","1","1","2"
"bird_feed__bag.n.01","Ready","True","True","","container.n.01,","","filling_the_bird_feeder-0,                         putting_birdseed_in_cage-0,","bird_feed_bag,","1","1","2"
"bird_feeder.n.01","Ready","False","True","an outdoor device that supplies food for wild birds","device.n.01,","","filling_the_bird_feeder-0,","bird_feeder,","1","1","1"
"birdcage.n.01","Ready","False","True","a cage in which a bird can be kept","cage.n.01,","","clean_a_birdcage-0,                         clean_a_small_pet_cage-0,                         putting_birdseed_in_cage-0,                         set_up_a_bird_cage-0,","birdcage,","1","1","4"
"biscuit.n.01","Ready","False","True","small round bread leavened with baking-powder or soda","quick_bread.n.01,","","make_biscuits-0,                         packing_hiking_equipment_into_car-0,","biscuit,","3","3","2"
"black_bean.n.01","Substance","False","True","black-seeded bean of South America; usually dried","common_bean.n.02,","","can_beans-0,","black_bean,","2","2","1"
"black_pepper.n.02","Substance","False","True","pepper that is ground from whole peppercorns with husks on","pepper.n.03,","","cook_ham_hocks-0,                         cook_spinach-0,                         cook_turkey_drumsticks-0,                         make_a_steak-0,                         make_chicken_fajitas-0,                         make_lemon_pepper_seasoning-0,                         make_red_beans_and_rice-0,","black_pepper,","1","1","7"
"blackberry.n.01","Ready","False","True","large sweet black or very dark purple edible aggregate fruit of any of various bushes of the genus Rubus","berry.n.01,                         drupelet.n.01,","","collecting_berries-0,                         make_a_chia_breakfast_bowl-0,","blackberry,","1","1","2"
"blackboard.n.01","Ready","False","True","sheet of slate; for writing with chalk","sheet.n.06,","","set_up_a_preschool_classroom-0,","blackboard,","2","2","1"
"blackboard_eraser.n.01","Ready","False","True","an eraser that removes chalk marks from blackboard","eraser.n.01,","","set_up_a_preschool_classroom-0,","blackboard_eraser,","1","1","1"
"blanket.n.01","Ready","False","True","bedding that keeps a person warm in bed","bedclothes.n.01,","","making_the_bed-0,                         packing_moving_van-0,                         packing_picnic_into_car-0,                         setting_up_bedroom_for_guest-0,                         setup_a_baby_crib-0,                         sorting_items_for_garage_sale-0,                         unpacking_moving_van-0,","blanket,","7","7","7"
"bleaching_agent.n.01","Substance","False","True","an agent that makes things white or colorless","agent.n.03,","","clean_a_loofah_or_natural_sponge-0,                         clean_a_sauna-0,                         clean_decking-0,                         clean_outdoor_tiles-0,                         clean_stucco-0,                         clean_your_house_after_a_wild_party-0,                         clean_your_laundry_room-0,","bleaching_agent,","0","0","7"
"bleaching_agent__atomizer.n.01","Ready","True","True","","dispenser.n.01,","","clean_a_loofah_or_natural_sponge-0,                         clean_a_sauna-0,                         clean_decking-0,                         clean_outdoor_tiles-0,                         clean_stucco-0,                         clean_your_house_after_a_wild_party-0,                         clean_your_laundry_room-0,","bleaching_agent_atomizer,","1","1","7"
"blender.n.01","Ready","False","True","an electrically powered mixer with whirling blades that mix or chop or liquefy foods","mixer.n.04,","","clean_a_blender-0,                         clean_kitchen_appliances-0,                         make_a_blended_iced_cappuccino-0,                         make_a_frappe-0,                         make_a_milkshake-0,                         make_a_strawberry_slushie-0,                         make_chocolate_milk-0,                         make_eggnog-0,                         make_fruit_punch-0,                         make_iced_chocolate-0,                       ...","blender,","4","4","15"
"blouse.n.01","Ready","False","True","a top worn by women","top.n.10,","","doing_laundry-0,                         folding_clothes-0,                         ironing_clothes-0,                         sorting_clothes-0,                         taking_clothes_off_of_the_drying_rack-0,                         taking_clothes_off_the_line-0,","blouse,","1","1","6"
"blueberry.n.02","Substance","False","True","sweet edible dark-blue berries of either low-growing or high-growing blueberry plants","berry.n.01,","","make_a_chia_breakfast_bowl-0,                         make_blueberry_mousse-0,","blueberry,","6","6","2"
"blueberry_mousse.n.01","Substance","True","True","","mousse.n.01,","","make_blueberry_mousse-0,","blueberry_mousse,","0","0","1"
"board.n.02","Ready","False","True","a stout length of sawn timber; made in a wide variety of sizes and used for many purposes","lumber.n.01,","","clean_decking-0,","board,","1","1","1"
"board_game.n.01","Ready","False","True","a game played on a specially designed board","parlor_game.n.01,","","collecting_childrens_toys-0,                         make_the_workplace_exciting-0,                         picking_up_toys-0,                         putting_away_games-0,                         setting_up_room_for_games-0,","board_game,","16","16","5"
"boat.n.01","Ready","False","False","a small vessel for travel on water","vessel.n.02,","small_boat.n.01,","cleaning_boat-0,                         packing_fishing_gear_into_car-0,                         prepare_a_boat_for_fishing-0,","","0","2","3"
"bobby_pin.n.01","Ready","False","True","a flat wire hairpin whose prongs press tightly together; used to hold bobbed hair in place","hairpin.n.01,","","store_bobby_pins-0,","bobby_pin,","1","1","1"
"bok_choy.n.02","Ready","False","True","elongated head of dark green leaves on thick white stalks","cabbage.n.01,","","clean_bok_choy-0,                         cook_bok_choy-0,                         sorting_potatoes-0,                         sorting_vegetables-0,","bok_choy,","2","2","4"
"book.n.02","Ready","False","False","physical objects consisting of a number of pages bound together","product.n.02,","hardback.n.01,                         notebook.n.01,                         paperback_book.n.01,","boxing_books_up_for_storage-0,                         clean_a_book-0,                         clean_a_company_office-0,                         organizing_items_for_yard_sale-0,                         organizing_school_stuff-0,                         packing_books_into_car-0,                         packing_documents_into_car-0,                         picking_up_books_at_library-0,                         putting_backpack_in_car_for_school-0,                         re_shelving_library_books-0,                       ...","","0","319","14"
"bookcase.n.01","Ready","False","True","a piece of furniture with shelves for storing books","furniture.n.01,","","clean_up_your_desk-0,                         sorting_books_on_shelf-0,                         sorting_newspapers_for_recycling-0,","book_case,                         bookcase,","2","2","3"
"boot.n.01","Ready","False","False","footwear that covers the whole foot and lower leg","footwear.n.02,","hiking_boot.n.01,                         rubber_boot.n.01,","clean_leather_boots-0,                         donating_clothing-0,                         preparing_clothes_for_the_next_day-0,","","0","6","3"
"booth.n.01","Ready","False","True","a table (in a restaurant or bar) surrounded by two high-backed benches","table.n.02,","","distributing_event_T_shirts-0,                         make_a_bake_sale_stand_stall-0,                         selling_products_at_flea_market-0,","booth,","1","1","3"
"bottle.n.01","Ready","False","False","a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped","vessel.n.03,","beer_bottle.n.01,                         carafe.n.01,                         carboy.n.01,                         cruet.n.01,                         flask.n.01,                         pill_bottle.n.01,                         specimen_bottle.n.01,                         water_bottle.n.01,                         wine_bottle.n.01,","cleaning_garage-0,","","0","28","1"
"bottle.n.03","Ready","False","True","a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children","vessel.n.03,","","wash_baby_bottles-0,","baby_bottle,","1","1","1"
"bottle__of__antihistamines.n.01","Ready","True","True","","grocery.n.02,","","buy_home_use_medical_supplies-0,                         picking_up_prescriptions-0,","bottle_of_antihistamines,","1","1","2"
"bottle__of__apple_juice.n.01","Ready","True","True","","grocery.n.02,","","buy_food_for_a_party-0,                         buying_groceries-0,                         cleaning_up_after_an_event-0,                         distributing_groceries_at_food_bank-0,                         make_a_lunch_box-0,","bottle_of_apple_juice,","2","2","5"
"bottle__of__aspirin.n.01","Ready","True","True","","grocery.n.02,","","buy_home_use_medical_supplies-0,","bottle_of_aspirin,","1","1","1"
"bottle__of__beer.n.01","Ready","True","True","","grocery.n.02,","","buy_alcohol-0,                         stock_a_bar_cart-0,","bottle_of_beer,","32","32","2"
"bottle__of__bleach_agent.n.01","Ready","True","True","","grocery.n.02,","","putting_away_cleaning_supplies-0,","bottle_of_bleach_agent,","1","1","1"
"bottle__of__catsup.n.01","Ready","True","True","","grocery.n.02,","","clearing_the_table_after_dinner-0,                         set_up_a_hot_dog_bar-0,","bottle_of_catsup,","5","5","2"
"bottle__of__champagne.n.01","Ready","True","True","","grocery.n.02,","","passing_out_drinks-0,                         setup_a_garden_party-0,","bottle_of_champagne,","4","4","2"
"bottle__of__coffee.n.01","Ready","True","True","","grocery.n.02,","","set_up_a_coffee_station_in_your_kitchen-0,","bottle_of_coffee,","1","1","1"
"bottle__of__cold_cream.n.01","Ready","True","True","","grocery.n.02,","","packing_grocery_bags_into_car-0,","bottle_of_cold_cream,","1","1","1"
"bottle__of__cooking_oil.n.01","Ready","True","True","","grocery.n.02,","","putting_shopping_away-0,                         stock_grocery_shelves-0,","bottle_of_cooking_oil,","2","2","2"
"bottle__of__detergent.n.01","Ready","True","True","","grocery.n.02,","","putting_away_cleaning_supplies-0,                         sorting_household_items-0,                         unloading_shopping_items-0,","bottle_of_detergent,","2","2","3"
"bottle__of__essential_oil.n.01","Ready","True","True","","grocery.n.02,","","make_the_ultimate_spa_basket-0,","bottle_of_essential_oil,","5","5","1"
"bottle__of__gin.n.01","Ready","True","True","","grocery.n.02,","","setup_a_bar_for_a_cocktail_party-0,                         stock_a_bar-0,","bottle_of_gin,","1","1","2"
"bottle__of__glue.n.01","Ready","True","True","","grocery.n.02,","","buy_school_supplies-0,                         sorting_art_supplies-0,","bottle_of_glue,","1","1","2"
"bottle__of__hot_sauce.n.01","Ready","True","True","","grocery.n.02,","","preparing_food_for_a_fundraiser-0,","bottle_of_hot_sauce,","1","1","1"
"bottle__of__lemonade.n.01","Ready","True","True","","grocery.n.02,","","setup_a_garden_party-0,                         stock_a_bar_cart-0,","bottle_of_lemonade,","1","1","2"
"bottle__of__liquid_soap.n.01","Ready","True","True","","grocery.n.02,","","buying_cleaning_supplies-0,                         make_a_military_care_package-0,                         putting_away_cleaning_supplies-0,","bottle_of_liquid_soap,","1","1","3"
