"Name","Synset State","Custom?","Leaf?","Definition","Parents","Children","Properties","Used as Predicates","Tasks","Direct Categories","Direct Objects","Total Objects","Requiring Task Count"
"activity.n.01","Ready","False","False","any specific behavior","act.n.02,","game.n.01,                         diversion.n.01,                         work.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","33","0"
"adapter.n.02","Not Ready","False","True","device that enables something to be used in a way different from that for which it was intended or makes different pieces of apparatus compatible","device.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"address.n.05","Ready","False","True","a sign in front of a house or business carrying the conventional form by which its location is described","street_sign.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        attached,","hanging_address_numbers-0,","address,","1","1","1"
"adhesive_material.n.01","Substance","False","True","a substance that unites or bonds surfaces together","material.n.01,","","freezable,                         substance,                         visualSubstance,","covered,","clean_stainless_steel_sinks-0,                         clean_cup_holders-0,                         clean_quarters-0,                         clean_a_toaster-0,                         clean_place_mats-0,                         cleaning_tools_and_equipment-0,                         clean_and_disinfect_ice_trays-0,                         clean_a_sieve-0,                         clean_your_house_after_a_wild_party-0,                         clean_baking_sheets-0,                       ...","adhesive_material,","9","9","17"
"adhesive_tape.n.01","Ready","False","False","tape coated with adhesive","tape.n.01,","masking_tape.n.01,                         duct_tape.n.01,                         cellulose_tape.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","8","0"
"adornment.n.01","Ready","False","False","a decoration of color or interest that is added to relieve plainness","decoration.n.01,","jewelry.n.01,                         tassel.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","7","0"
"aerosol.n.02","Ready","False","True","a dispenser that holds a substance under pressure and that can release it as a fine spray (usually by means of a propellant gas)","dispenser.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","","","spray_can,","3","3","0"
"agamete.n.01","Substance","False","False","an asexual reproductive cell","reproductive_structure.n.01,","spore.n.01,","freezable,                         substance,                         visualSubstance,","","","","0","0","0"
"agaric.n.02","Ready","False","False","a saprophytic fungus of the order Agaricales having an umbrellalike cap with gills on the underside","basidiomycete.n.01,","half__chanterelle.n.01,                         chanterelle.n.01,                         diced__chanterelle.n.01,                         cooked__diced__chanterelle.n.01,","freezable,","","","","0","3","0"
"agave.n.01","Ready","False","True","tropical American plants with basal rosettes of fibrous sword-shaped leaves and flowers in tall spikes; some cultivated for ornament or for fiber","desert_plant.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","agave,","2","2","0"
"agent.n.01","Not Ready","False","True","an active and efficient cause; capable of producing a certain effect","causal_agent.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","agent,","0","0","0"
"agent.n.03","Ready","False","False","a substance that exerts some force or effect","causal_agent.n.01,                         substance.n.07,","bleaching_agent.n.01,                         antifungal.n.01,                         disinfectant.n.01,                         chemical_agent.n.01,                         drug.n.01,","freezable,","","","","0","22","0"
"aioli.n.01","Substance","False","True","garlic mayonnaise","sauce.n.01,","","boilable,                         breakable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","","","","0","0","0"
"air_conditioner.n.01","Ready","False","True","a system that keeps air cool and dry","cooling_system.n.02,","","coldSource,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","toggled_on,                        covered,                        ontop,","clean_a_air_conditioner-0,                         buy_a_air_conditioner-0,","air_conditioner,                         ceiling_air_conditioner,","2","2","2"
"air_filter.n.01","Ready","False","True","a filter that removes dust from the air that passes through it","filter.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        covered,","clean_an_air_filter-0,","air_filter,","1","1","1"
"air_freshener__atomizer.n.01","Ready","True","True","","dispenser.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","","","air_freshener_atomizer,","1","1","0"
"aircraft.n.01","Ready","False","False","a vehicle that can fly","craft.n.02,","lighter-than-air_craft.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","1","0"
"alarm.n.02","Ready","False","False","a device that signals the occurrence of some undesirable event","device.n.01,","fire_alarm.n.02,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","ontop,                        toggled_on,","installing_alarms-0,","","0","6","1"
"alarm_clock.n.01","Ready","False","True","a clock that wakes a sleeper at some preset time","clock.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","alarm_clock,","3","3","0"
"alcohol.n.01","Substance","False","False","a liquor or brew containing alcohol as the active agent","beverage.n.01,                         drug_of_abuse.n.01,","liqueur.n.01,                         liquor.n.01,                         brew.n.01,                         wine.n.01,                         sake.n.02,                         mixed_drink.n.01,","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","","","","0","0","0"
"alcohol.n.02","Substance","False","False","any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation","liquid.n.01,","isopropyl_alcohol.n.01,","boilable,                         flammable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","","","","0","0","0"
"alcove.n.01","Ready","False","False","a small recess opening off a larger room","recess.n.04,","carrel.n.02,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","2","0"
"alga.n.01","Substance","False","True","primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves","protoctist.n.01,","","freezable,                         substance,                         visualSubstance,","","","alga,","1","1","0"
"aliphatic_compound.n.01","Substance","False","False","organic compound that is an alkane or alkene or alkyne or their derivative","organic_compound.n.01,","methane_series.n.01,","boilable,                         flammable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","","","","0","0","0"
"allen_wrench.n.01","Ready","False","True","a wrench for Allen screws","wrench.n.03,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,","outfit_a_basic_toolbox-0,","allen_wrench,","1","1","1"
"alliaceous_plant.n.01","Ready","False","False","bulbous plants having a characteristic pungent onion odor","liliaceous_plant.n.01,","cooked__diced__chives.n.01,                         diced__chives.n.01,                         chives.n.01,                         half__chives.n.01,","freezable,","","","","0","5","0"
"allspice.n.03","Substance","False","True","ground dried berrylike fruit of a West Indian allspice tree; suggesting combined flavors of cinnamon and nutmeg and cloves","spice.n.02,","","cookable,                         freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","insource,","make_pumpkin_pie_spice-0,","allspice,","1","1","1"
"allspice__shaker.n.01","Ready","True","True","","container.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         needsOrientation,                         nonSubstance,                         particleApplier,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","inside,                        insource,","make_pumpkin_pie_spice-0,","allspice_shaker,","1","1","1"
"almond.n.02","Substance","False","True","oval-shaped edible seed of the almond tree","drupe.n.01,                         edible_nut.n.01,","","cookable,                         freezable,                         macroPhysicalSubstance,                         physicalSubstance,                         substance,","filled,                        covered,                        contains,","make_homemade_bird_food-0,                         prepare_wine_and_cheese-0,","almond,","10","10","2"
"almond_oil.n.01","Substance","False","True","pale yellow fatty oil expressed from sweet or bitter almonds","oil.n.01,","","boilable,                         cookable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","","","","0","0","0"
"alphabet_abacus.n.01","Ready","True","True","","plaything.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","alphabet_abacus,","1","1","0"
"aluminum.n.01","Not Ready","False","True","a silvery ductile metallic element found primarily in bauxite","metallic_element.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"aluminum_foil.n.01","Ready","False","True","foil made of aluminum","foil.n.01,","","cloth,                         deformable,                         disinfectable,                         drapeable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","overlaid,                        inside,                        unfolded,","roast_meat-0,                         warm_tortillas-0,                         glaze_a_ham-0,                         freeze_lasagna-0,","aluminum_foil,","1","1","4"
"ammonia_water.n.01","Substance","False","True","a water solution of ammonia","liquid.n.01,","","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","insource,","clean_jewels-0,                         clean_soot_from_glass_lanterns-0,","ammonia_water,","0","0","2"
"ammonia_water__atomizer.n.01","Ready","True","True","","dispenser.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleApplier,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","ontop,                        insource,","clean_jewels-0,                         clean_soot_from_glass_lanterns-0,","ammonia_water_atomizer,","1","1","2"
"ammunition.n.01","Not Ready","False","False","projectiles to be fired from a gun","weaponry.n.01,","case_shot.n.01,","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"analgesic.n.01","Substance","False","True","a medicine used to relieve pain","medicine.n.02,","","freezable,                         macroPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","0","0"
"anchor.n.01","Not Ready","False","True","a mechanical device that prevents a vessel from moving","hook.n.04,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"angiosperm.n.01","Ready","False","False","plants having seeds in a closed ovary","spermatophyte.n.01,","flower.n.01,","freezable,","","","","0","38","0"
"animal.n.01","Ready","False","False","a living organism characterized by voluntary movement","organism.n.01,","invertebrate.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","1","0"
"animal_material.n.01","Ready","False","False","material derived from animals","material.n.01,","shell.n.02,                         feather.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","1","0"
"animal_tissue.n.01","Not Ready","False","False","the tissue in the bodies of animals","tissue.n.01,","connective_tissue.n.01,","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"antenna.n.01","Not Ready","False","True","an electrical device that sends or receives radio or television signals","electrical_device.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"antifreeze.n.01","Substance","False","True","a liquid added to the water in a cooling system to lower its freezing point","liquid.n.01,","","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","","","","0","0","0"
"antifungal.n.01","Substance","False","True","any agent that destroys or prevents the growth of fungi","agent.n.03,","","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","","","","0","0","0"
"antihistamine.n.01","Substance","False","True","a medicine used to treat allergies and hypersensitive reactions and colds; works by counteracting the effects of histamine on a receptor site","medicine.n.02,","","freezable,                         macroPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","0","0"
"antipasto.n.01","Not Ready","False","True","a course of appetizers in an Italian meal","appetizer.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"antique.n.02","Not Ready","False","True","any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity","antiquity.n.03,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"antiquity.n.03","Not Ready","False","False","an artifact surviving from the past","artifact.n.01,","antique.n.02,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"antler.n.01","Ready","False","True","deciduous horn of a member of the deer family","horn.n.02,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","attached,                        covered,","clean_deer_antlers-0,","antlers,","2","2","1"
"aperture.n.03","Not Ready","False","False","an man-made opening; usually small","opening.n.10,","mouthpiece.n.06,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"apparatus.n.01","Ready","False","False","equipment designed to serve a specific function","equipment.n.01,","duplicator.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","","","","0","6","0"
"apparel.n.01","Ready","False","False","clothing in general","clothing.n.01,","workwear.n.01,","cloth,                         deformable,                         disinfectable,                         drapeable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleRemover,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","2","0"
"appearance.n.01","Substance","False","False","outward or visible aspect of a person or thing","quality.n.01,","stain.n.01,                         tarnish.n.02,","freezable,                         substance,                         visualSubstance,","","","","0","10","0"
"appendage.n.03","Ready","False","False","a part that is joined to something larger","part.n.02,","handle.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","2","0"
"appetizer.n.01","Not Ready","False","False","food or drink to stimulate the appetite (usually served before a meal or as the first course)","course.n.07,","antipasto.n.01,                         diced__antipasto.n.01,                         half__antipasto.n.01,                         cooked__diced__antipasto.n.01,","freezable,","","","","0","0","0"
"apple.n.01","Ready","False","True","fruit with red or yellow or green skin and sweet to tart crisp whitish flesh","edible_fruit.n.01,                         pome.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,                        covered,                        frozen,                        nextto,                        cooked,","make_fruit_punch-0,                         bag_groceries-0,                         make_homemade_bird_food-0,                         paying_for_purchases-0,                         clean_apples-0,                         freeze_fruit-0,                         putting_meal_on_plate-0,                         composting_waste-0,                         buying_everyday_consumer_goods-0,                         set_up_a_bird_cage-0,                       ...","apple,","13","13","14"
"apple_juice.n.01","Substance","False","True","the juice of apples","fruit_juice.n.01,","","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","","","","0","0","0"
"apple_juice__bottle.n.01","Not Ready","True","True","","vessel.n.03,","","breakable,                         disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"apple_pie.n.01","Ready","False","True","pie (with a top crust) containing sliced apples and sugar","pie.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,                        frozen,                        hot,","freeze_pies-0,                         packing_picnic_food_into_car-0,                         cook_a_frozen_pie-0,","apple_pie,","2","2","3"
"applesauce.n.01","Substance","False","True","puree of stewed apples usually sweetened and spiced","dish.n.02,","","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","future,                        real,                        contains,","make_applesauce-0,","applesauce,","0","0","1"
"appliance.n.02","Ready","False","False","durable goods for home or office use","durables.n.01,","dehumidifier.n.01,                         home_appliance.n.01,                         dryer.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","115","0"
"applicator.n.01","Ready","False","False","a device for applying a substance","device.n.01,","paintbrush.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","6","0"
"apricot.n.02","Ready","False","True","downy yellow to rosy-colored fruit resembling a small peach","edible_fruit.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","apricot,","1","1","0"
