task_name,BDDL checked - Sanjana - first round semantics,BDDL checked - Sharon - second round semantics,BDDL checked - Ruohan - final check and simulatability,Sanjana's counter,Sharon's counter,,Ruohan's counter,,
clean invisalign,1,1,1,,,,,,
clean jade,1,1,1,,,,,,
clean jewels,1,1,1,,,,,,
clean kitchen appliances,1,1,1,,,,,,
clean leather boots,1,1,1,,,,,,
clean leather sandals,1,1,1,,,,,,
clean marker off a doll,1,1,1,,,,,,
clean mirrors,1,1,1,,,,,,
clean mushrooms,1,1,1,,,,,,
clean mussels,1,1,1,,,,,,
clean nickel,1,1,1,special cleaning fluid (though edited to not need it - diluted vinegar --> pure vinegar),,,,,
clean out a guinea pigs hutch,1,1,1,,,,,,
clean outdoor tiles,1,1,1,,,,,,
clean oysters,1,1,1,,,,,,
clean paper lampshades,1,1,1,,,,,,
clean pennies,1,1,1,special cleaning fluid (salt and vinegar),,,,,
clean piano keys,1,1,1,,,,,,
clean pine cones,1,1,1,,,,,,
clean place mats,1,1,1,,,,,,
clean plastic containers,1,1,1,,,,,,
clean potatoes,1,1,1,,,,,,
clean pottery,1,1,1,,,,,,
clean prawns,,,,duplicate task with clean shrimp,,,,,
clean quarters,1,1,1,,,,,,
clean quartz,1,1,1,,,,,,
clean raw denim,1,1,1,special cleaning fluid,,,,,
clean reusable shopping bags,1,1,1,,,,,,
clean rubber,1,1,1,,,,,,
clean rubber bathmats,1,1,1,,,,,,
clean scallops,1,1,1,,,,,,
clean seashells,1,1,1,,,,,,
clean sheets,1,1,1,,,,,,
clean shrimp,1,1,1,,,,,,
clean silver coins,1,1,1,,,,,,
clean skateboard bearings,1,1,1,,,,,,
clean snap peas,1,1,1,,,,,,
clean snow peas,1,1,1,,,,,,
clean soot from glass lanterns,1,1,1,,,,,,
clean stainless steel sinks,1,1,1,special cleaning fluid (baking soda and soap),,,,,
clean strawberries,1,1,1,special cleaning fluid (vinegar and water),,,,,
clean stucco,1,1,1,,,,,,
clean suede gloves,1,1,1,,,,,,
clean sunglasses,1,1,1,,,,,,
clean synthetic hiking gear,1,1,1,,,,,,
clean tennis balls,1,1,1,,,,,,
clean the bottom of an iron,1,1,1,,,,,,
clean the exterior of your garage,1,1,1,,,,,,
clean the interior of your car,1,1,1,,,,,,
clean the outside of a house,1,1,1,,,,,,
clean tweed,1,1,1,,,,,,
clean up after a dinner party,1,1,1,,,,,,
clean up broken glass,1,1,1,,,,,,
clean up gasoline,1,1,1,,,,,,
clean up spilled egg,1,1,1,team discussion,,,,,
clean up water damage,1,1,1,,,,,,
clean up your desk,1,1,1,,,,,,
clean vans,1,1,1,,,,,,
clean vases,1,1,1,,,,,,
clean vintage stereo equipment,1,1,1,,,,,,
clean vinyl shutters,1,1,1,,,,,,
clean walls,1,1,1,,,,,,
clean whiskey stones,1,1,1,,,,,,
clean white marble,,,,missing,,,,,
clean white wall tires,1,1,1,,,,,,
clean wine glasses,1,1,1,,,,,,
clean wood doors,1,1,1,,,,,,
clean wood pallets,1,1,1,,,,,,
clean wood siding,1,1,1,,,,,,
clean wooden blocks,1,1,1,,,,,,
clean your baseboard radiators,1,1,1,,,,,,
clean your cleaning supplies,1,1,1,,,,,,
clean your electronics,1,1,1,,,,,,
clean your goal keeper gloves,1,1,1,"special cleaning fluid (hot water, vinegar, detergent)",,,,,
clean your house after a wild party,1,1,1,,,,,,
clean your kitty litter box,1,1,1,,,,,,
clean your laundry room,1,1,1,,,,,,
clean your pencil case,1,1,1,,,,,,
clean your rusty garden tools,1,1,1,,,,,,
cleaning a car,1,1,1,,,,,,
cleaning around pool in garden,1,1,1,,,,,,
cleaning barbecue grill,1,1,1,,,,,,
cleaning bathrooms,1,1,1,,,,,,
cleaning bathtub,1,1,1,,,,,,
cleaning bedroom,1,1,1,,,,,,
cleaning boat,1,1,1,,,,,,
cleaning camper/RV,1,1,1,,,,,,
cleaning carpets,1,1,1,,,,,,
cleaning closet,1,1,1,b100,,,,,
cleaning computer,1,1,1,,,,,,
cleaning cupboards,1,1,1,,,,,,
cleaning cups in living room,1,1,1,,,,,,
cleaning debris out of car,1,1,1,,,,,,
cleaning driveway,1,1,1,,,,,,
cleaning fan,1,1,1,,,,,,
cleaning fishing gear,1,1,1,,,,,,
cleaning floors,1,1,1,,,,,,
cleaning freezer,1,1,1,,,,,,
cleaning garage,1,1,1,,,,,,
cleaning garden path,1,1,1,,,,,,
cleaning garden tools,1,1,1,,,,,,
cleaning glasses off bar,1,1,1,,,,,,
cleaning high chair,1,1,1,,,,,,
cleaning kitchen cupboard,1,1,1,,,,,,
cleaning kitchen knives,1,1,1,,,,,,
cleaning lawnmowers,1,1,1,,,,,,
cleaning microwave oven,1,1,1,,,,,,
cleaning mushrooms,1,1,1,,,,,,
cleaning out drawers,1,1,1,,,,,,
cleaning oven,1,1,1,,,,,,
cleaning parks,1,1,1,,,,,,
cleaning patio furniture,1,1,1,,,,,,
cleaning pavement,1,1,1,,,,,,
cleaning pet bed,1,1,1,,,,,,
cleaning rainboots,1,1,1,,,,,,
cleaning restaurant table,1,1,1,,,,,,
cleaning shed,team discussion,1,1,team discussion - do we have a shed,,,,,
cleaning shoes,1,1,1,,,,,,
cleaning skis,1,1,1,,,,,,
cleaning sneakers,1,1,1,,,,,,
cleaning stove,1,1,1,,,,,,
cleaning stuff out of car,1,1,1,,,,,,
cleaning table after clearing,1,1,1,,,,,,
cleaning the hot tub,1,1,1,,,,,,
cleaning the pond,1,1,0,remove task,,,,,
cleaning the pool,1,1,1,,,,,,
cleaning the yard,1,1,1,,,,,,
cleaning toilet,1,1,1,b100,,,,,
cleaning tools and equipment,1,1,1,,,,,,
cleaning up after a meal,1,1,1,,,,,,
cleaning up after an event,1,1,1,,,,,,
cleaning up branches and twigs,1,1,1,,,,,,
cleaning up plates and food,1,1,1,,,,,,
cleaning up refrigerator,1,1,1,b100,,,,,
cleaning up the kitchen only,1,1,1,,,,,,
cleaning vehicles,1,1,1,,,,,,
cleaning windows,1,1,1,,,,,,
clearing food from table into fridge,1,1,1,asset check,,,,,
clearing table after breakfast,1,1,1,,,,,,
clearing table after coffee,1,1,1,,,,,,
clearing table after dinner,1,1,1,,,,,,
clearing table after snacks,1,1,1,,,,,,
clearing table after supper,1,1,1,,,,,,
clearing the table after dinner,1,1,1,,,,,,
cold brew coffee,1,1,1,og tm ,,,,,
collect misplaced items,1,1,1,,,,,,
collecting aluminum cans,1,1,1,,,,,,
collecting berries,1,1,1,,,,,,
collecting children's toys,1,1,1,,,,,,
collecting dishes from around house,1,1,1,,,,,,
collecting dishes from restaurant tables,1,1,1,,,,,,
collecting mail from the letterbox,1,1,1,,,,,,
collecting wood,1,1,1,,,,,,
composting waste,1,1,1,,,,,,
cook a brisket,1,1,1,,,,,,
cook a crab,1,1,1,,,,,,
cook a duck,1,1,1,,,,,,
cook a frozen pie,1,1,1,,,,,,
cook a turkey,1,1,1,check asset,,,,,
cook asparagus,1,1,1,,,,,,
cook bacon,1,1,1,,,,,,
cook beef and onions,1,1,1,,,,,,
cook broccolini,1,1,1,,,,,,
cook brussels sprouts,1,1,1,,,,,,
cook cabbage,1,1,1,check asset,,,,,
cook carrots,1,1,1,,,,,,
cook chicken,1,1,1,,,,,,
cook chicken and rice,1,1,1,,,,,,
cook clams,1,1,1,,,,,,
cook corn,1,1,1,,,,,,
cook eggplant,1,1,1,,,,,,
cook eggs,1,1,1,,,,,,
cook fish,1,1,1,,,,,,
cook green beans,1,1,1,,,,,,
cook ground beef,1,1,1,,,,,,
cook ham hocks,1,1,1,,,,,,
cook hot dogs,1,1,1,,,,,,
cook kabobs,1,1,1,,,,,,
cook kale,1,1,1,,,,,,
cook kielbasa,1,1,1,,,,,,
cook lamb,1,1,1,,,,,,
cook mussels,1,1,1,,,,,,
cook mustard greens,1,1,1,,,,,,
cook noodles,1,1,1,,,,,,
cook onions,1,1,1,,,,,,
cook oysters,1,1,1,,,,,,
cook pasta,1,1,1,pasta transition map,,,,,
cook peas,1,1,1,,,,,,
cook peppers,1,1,1,,,,,,
cook pork ribs,1,1,1,,,,,,
cook potatoes,1,1,1,,,,,,
cook quail,1,1,1,,,,,,
cook ramen noodles,1,1,1,,,,,,
cook red peppers,1,1,1,,,,,,
cook rice,1,1,1,rice transition map,,,,,
cook sausages,1,1,1,,,,,,
cook shrimp,1,1,1,,,,,,
cook spinach,1,1,1,,,,,,
cook squash,1,1,1,,,,,,
cook sweet potatoes,1,1,1,,,,,,
cook tofu,1,1,1,,,,,,
cook turkey drumsticks,1,1,1,,,,,,
cook vegetables,1,1,1,,,,,,
cook zucchini,1,1,1,,,,,,
cooking a feast,1,1,1,,,,,,
cooking breakfast,1,1,1,,,,,,
cooking dinner,1,1,1,,,,,,
cooking food for adult,1,1,1,,,,,,
cooking lunch,1,1,1,,,,,,
cool cakes,1,1,1,,,,,,
cover a flower pot in fabric,1,1,1,,,,,,
covering boat,1,1,1,,,,,,
de-clutter your garage,1,1,1,,,,,,
de-ice a car,1,1,1,,,,,,
decorating outside for holidays,1,1,1,,,,,,
decorating outside for parties,1,1,1,,,,,,
defrost meat,1,1,1,,,,,,
defrosting freezer,1,1,1,,,,,,
delivering groceries to doorstep,1,1,1,,,,,,
disinfect laundry,1,1,1,,,,,,
disinfect nail clippers,1,1,1,,,,,,
dispose of a pizza box,1,1,1,,,,,,
dispose of batteries,1,1,1,,,,,,
dispose of fireworks,1,1,1,,,,,,
dispose of glass,1,1,1,,,,,,
dispose of paper,1,1,1,,,,,,
disposing of lawn clippings,1,1,1,,,,,,
disposing of trash for adult,1,1,1,,,,,,
distributing event T-shirts,1,1,1,,,,,,
distributing groceries at food bank,1,1,1,,,,,,
doing housework for adult,1,1,1,,,,,,
doing laundry,1,1,1,,,,,,
donating clothing,1,1,1,,,,,,
donating toys,1,1,1,,,,,,
drape window scarves,1,1,1,,,,,,
drying dishes,1,1,1,,,,,,
drying table,1,1,1,,,,,,
dust houseplants,1,1,1,,,,,,
dusting rugs,1,1,1,,,,,,
emptying ashtray,1,1,1,,,,,,
emptying trash cans,1,1,1,,,,,,
fertilize a lawn,1,1,1,,,,,,
fertilize plants,1,1,1,,,,,,
fertilizing garden,1,1,1,,,,,,
fill a bucket in a small sink,1,1,1,,,,,,
fill a canteen,1,1,1,,,,,,
fill a hot water bottle,1,1,1,,,,,,
fill a punching bag,1,1,1,check asset: sand_bag has to be a container,,,,,
filling pepper,1,1,1,,,,,,
filling salt,1,1,1,check asset,,,,,
filling sugar,1,1,1,,,,,,
filling the bird feeder,1,1,1,,,,,,
fixing broken chair,1,1,1,assembly,,,,,
fixing broken table,1,1,1,assembly,,,,,
fixing mailbox,1,1,1,assembly,,,,,
fold a cloth napkin,1,1,1,,,,,,
fold a plastic bag,1,1,1,,,,,,
fold a tortilla,1,1,1,,,,,,
fold bandanas,1,1,1,,,,,,
fold towels,1,1,1,,,,,,
folding clean laundry,1,1,1,,,,,,
folding clothes,1,1,1,,,,,,
folding piece of cloth,1,1,1,,,,,,
folding sheets,1,1,1,,,,,,
freeze fruit,1,1,1,,,,,,
freeze lasagna,1,1,1,,,,,,
freeze meat,1,1,1,,,,,,
freeze quiche,1,1,1,,,,,,
freeze vegetables,1,1,1,,,,,,
fry pot stickers,1,1,1,,,,,,
gathering nuts,1,1,1,,,,,,
getting a drink,1,1,1,,,,,,
getting organized for work,1,1,1,,,,,,
getting package from post office,1,1,1,,,,,,
glaze a ham,1,1,1,,,,,,
grease and flour a pan,1,1,1,,,,,,
grill burgers,1,1,1,,,,,,
grill vegetables,1,1,1,,,,,,
halve an egg,1,1,1,,,,,,
hand washing clothing,1,1,1,,,,,,
hang a bike on the wall,1,1,1,,,,,,
hang a dartboard,1,1,1,,,,,,
hang icicle lights,1,1,1,,,,,,
hanging address numbers,1,1,1,,,,,,
hanging blinds,1,1,1,,,,,,
hanging clothes,1,1,1,,,,,,
hanging clothes on clothesline,1,1,1,,,,,,
hanging flags,1,1,1,team discussion,,,,,
hanging outdoor lights,1,1,1,,,,,,
hanging pictures,1,1,1,,,,,,
hanging shades,1,1,1,,,,,,
hanging up bedsheets,1,1,1,,,,,,
hanging up curtains,1,1,1,,,,,,
hanging up wind chimes,1,1,1,,,,,,
hard boil an egg,1,1,1,"Make sure TM has all cooking rules, including just heat source cooking rules",,,,,
haul a motorcycle,1,1,1,remove task (final),,,,,
heating food up,1,1,1,,,,,,
cook soup,1,1,1,just replace with cook soup ,,,,,
hoe weeds,1,1,1,,,,,,
hooking up trailer to car,,,,remove task,,,,,
ice cookies,1,1,1,,,,,,
installing a fax machine,1,1,1,,,,,,
installing a fence,1,1,1,,,,,,
installing a modem,1,1,1,,,,,,
installing a printer,1,1,1,,,,,,
installing a scanner,1,1,1,,,,,,
installing a trailer hitch,1,1,1,,,,,,
installing alarms,1,1,1,,,,,,
installing appliances,,,,remove task,,,,,
installing carpet,1,1,1,,,,,,
installing smoke detectors,1,1,1,,,,,,
iron a tie,1,1,1,,,,,,
iron curtains,1,1,1,,,,,,
ironing bedsheets,1,1,1,,,,,,
ironing clothes,1,1,1,,,,,,
ironing curtains,1,1,0,duplicate task - remove,,,,,
lay sod,1,1,1,,,,,,
laying clothes out,1,1,1,,,,,,
laying paving stones,1,1,1,,,,,,
laying restaurant table for dinner,1,1,1,,,,,,
laying tile floors,1,1,1,,,,,,
laying wood floors,1,1,1,,,,,,
line kitchen shelves,1,1,1,,,,,,
loading shopping into car,1,1,1,,,,,,
loading the car,1,1,1,,,,,,
loading the dishwasher,1,1,1,,,,,,
locking every door,1,1,1,,,,,,
locking every window,1,1,1,,,,,,
lube a bicycle chain,1,1,1,,,,,,
mailing letters,1,1,1,,,,,,
make a bake sale stand stall,1,1,1,,,,,,
make a basic brine,1,1,1,og tm,,,,,
make a blended iced cappuccino,1,1,1,og tm,,,,,
make a candy centerpiece,1,1,1,,,,,,
make a cappuccino,1,1,1,og tm,,,,,
make a cheese pastry,1,1,1,og tm,,,,,
make a christmas gift box,1,1,1,,,,,,
make a clothes line,1,1,1,assembly,,,,,
make a frappe,1,1,1,og tm,,,,,
make a milkshake,1,1,1,og tm,,,,,
make a mojito,1,1,1,,,,,,
make a red meat sauce,1,1,1,og tm,9:16,,,,
make a salad,1,1,1,,,,,,
make a sandwich,1,1,1,,,,,,
make a small vegetable garden,1,1,1,,,,,,
make a steak,1,1,1,,,,,,
make a strawberry slushie,1,1,1,,,,,,
make a sugar and coffee scrub,1,?,1,,,,,,
make a tropical breakfast,1,1,1,no longer tm - csv deprecated,,,,,
make a vinegar cleaning solution,1,1,1,og tm,8:25,,,,
make a wiener schnitzle,1,1,1,og tm,~8:30,,,,
make an iced espresso,1,1,1,og tm,7:35,,,,
make applesauce,1,1,1,og tm,,,,,
make bagels,1,1,1,og tm,,,,,
make baked pears,1,1,1,,,,,,
make batter,1,1,1,og tm,,,,,
make beef and broccoli,1,1,1,,,,,,
make bento,1,1,1,,,,,,
make biscuits,1,1,1,og tm,7:55,,,,
make blueberry mousse,1,1,1,og tm,~7,,,,
make brownies,1,1,1,og tm,,,,,
make burrito bowls,1,1,1,,,,,,
make cabinet doors,1,1,1,,,,,,
make cake filling,1,1,1,og tm,,,,,
make cake mix,1,1,1,og tm,,,,,
make chicken and waffles,1,1,1,,,,,,
make chicken curry,1,1,1,og tm,~9,,,,
make chicken fajitas,1,1,1,,,,,,
make chocolate biscuits,1,1,1,og tm,,,,,
make chocolate milk,1,1,1,og tm,,,,,
make chocolate spread,1,1,1,og tm,,,,,
make chocolate syrup,1,1,1,og tm,,,,,
make cinnamon sugar,1,1,1,og tm,,,,,
make citrus punch,1,1,1,og tm,,,,,
make coffee,1,1,1,og tm,,,,,
make cookie dough,1,1,1,og tm,,,,,
make cookies,1,1,1,og tm,,,,,
make cream from milk,1,1,1,og tm,,,,,
make cream soda,1,1,1,og tm,,,,,
make dinner rolls,1,1,1,og tm,,,,,
make dinosaur goody bags,1,1,1,"nothing about these is actually ""dinosaur""",,,,,
make edible chocolate chip cookie dough,1,1,1,og tm,,,,,
make fish and chips,1,1,1,asset check on deep fryer,,,,,
make fried rice,1,1,1,,,,,,
make fruit punch,1,1,1,og tm,,,,,
make garlic mushrooms,1,1,1,,,,,,
make gift bags for baby showers,1,1,1,,,,,,
make granola,1,1,1,og tm,,,,,
make green tea latte,1,1,1,og tm,,,,,
make homemade bird food,1,1,1,og tm,,,,,
make hot cocoa,1,1,1,og tm,,,,,
make ice,1,1,1,og tm,,,,,
make iced chocolate,1,1,1,og tm,,,,,
make iced tea,1,1,1,og tm,,,,,
make instant coffee,1,1,1,og tm,,,,,
make jamaican jerk seasoning,1,1,1,og tm,,,,,
make king prawns with garlic,1,1,1,,,,,,
make lemon or lime water,1,1,1,suggestion: no longer tm - csv deprecated,,,,,
make lemon pepper seasoning,1,1,1,og tm,,,,,
make lemon pepper wings,1,1,1,og tm (deprecating tm),,,,,
make lemon stain remover,1,1,1,og tm,,,,,
make lemonade,1,1,1,og tm,,,,,
make limeade,1,1,1,og tm,,,,,
make macaroni and cheese,1,1,1,og tm,,,,,
make meatloaf,1,1,1,og tm,,,,,
make muffins,1,1,1,og tm,,,,,
make mustard herb and spice seasoning,1,1,1,og tm,,,,,
make nachos,1,1,1,og tm (deprecating tm),,,,,
make oatmeal,1,1,1,og tm,,,,,
make onion ring batter,1,1,1,og tm,,,,,
make party favors from candy,1,1,1,,,,,,
make pasta sauce,1,1,1,og tm,,,,,
make pastry,1,1,1,og tm,,,,,
make pizza,1,1,1,og tm,,,,,
make pizza dough,1,1,1,og tm,,,,,
make pizza sauce,1,1,1,og tm,,,,,
make popsicles,1,1,1,og tm,,,,,
make pumpkin pie spice,1,1,1,og tm,,,,,
make red beans and rice,1,1,1,,,,,,
make rose centerpieces,1,1,1,,,,,,
make seafood stew,1,1,1,og tm,,,,,
make soup,1,1,1,og tm,,,,,
make spa water,1,1,1,og tm (deprecating tm),,,,,
make stew,1,1,1,og tm,,,,,
make stewed fruit,1,1,1,,,,,,
make strawberries and cream,1,1,1,,,,,,
make tacos,1,1,1,,,,,,
make the ultimate spa basket,1,1,1,,,,,,
make the workplace exciting,1,1,1,,,,,,
make toast,1,1,1,,,,,,
make tomato rice,1,1,1,og tm,,,,,
make waffles,1,1,1,og tm,,,,,
make watermelon punch,1,1,1,og tm,,,,,
make white wine sauce,1,1,1,og tm,,,,,
make yams,1,1,1,,,,,,
making a drink,1,1,1,,,,,,
making a meal,1,1,1,cook pasta in hot water,,,,,
making a snack,1,1,1,melting grated cheese,,,,,
making coffee,1,1,1,og tm,,,,,
making photocopies,1,1,1,remove task,,,,,
making tea,1,1,1,,,,,,
making the bed,1,1,1,,,,,,
mixing drinks,1,1,1,,,,,,
mopping floors,1,1,1,,,,,,
mopping the kitchen floor,1,1,1,,,,,,
moving boxes to storage,1,1,1,,,,,,
moving stuff to storage,1,1,1,,,,,,
mowing the lawn,1,1,1,,,,,,
mulching,1,1,1,,,,,,
opening doors,1,1,1,,,,,,
opening windows,1,1,1,,,,,,
organise a linen closet,1,1,1,,,,,,
organizing art supplies,1,1,1,,,,,,
organizing boxes in garage,1,1,1,,,,,,
organizing file cabinet,1,1,1,,,,,,
organizing items for yard sale,1,1,1,,,,,,
organizing office documents,1,1,1,,,,,,
organizing school stuff,1,1,1,,,,,,
organizing skating stuff,1,1,1,,,,,,
organizing volunteer materials,1,1,1,,,,,,
outfit a basic toolbox,1,1,1,,,,,,
pack a beach bag,1,1,1,,,,,,
pack a pencil case,1,1,1,,,,,,
pack for the pool,1,1,1,,,,,,
pack your gym bag,1,1,1,,,,,,
