Object,Synset,hasAvgSpec?
folder,folder.n.02,1
calculator,calculator.n.02,1
necklace,necklace.n.01,1
jewel,jewel.n.01,1
bracelet,bracelet.n.02,1
ring,ring.n.08,1
cup,cup.n.01,1
platter,platter.n.01,1
cauldron,caldron.n.01,1
coffee_bag,coffee.n.01,1
coffee_cup,coffee.n.01,1
crumb,crumb.n.03,1
cookie,cookie.n.01,1
wrapped_gift,wrapping.n.01,1
bow,bow.n.08,1
wreath,wreath.n.01,1
martini,martini.n.01,1
chopstick,chopstick.n.01,1
sushi,sushi.n.01,1
container_cranberry,cranberry.n.02,1
salad,salad.n.01,1
soup,soup.n.01,1
sheet,sheet.n.03,1
atomizer,atomizer.n.01,1
broom,broom.n.01,1
carpet_sweeper,carpet_sweeper.n.01,1
coat,coat.n.01,1
detergent,detergent.n.02,1
jeans,jean.n.01,1
paint,paint.n.01,1
paintbrush,paintbrush.n.01,1
pajamas,pajama.n.02,1
pegboard,pegboard.n.01,1
roller,roller.n.04,1
scrub_brush,scrub_brush.n.01,1
sock,sock.n.01,1
sweater,sweater.n.01,1
trowel,trowel.n.01,1
underwear,underwear.n.01,1
vacuum,vacuum.n.04,1
umbrella,umbrella.n.01,
sunglass,sunglass.n.01,
toaster,toaster.n.02,
iron,iron.n.04,
hook,hook.n.05,
salt,salt.n.02,
beer,beer.n.01,
juice,juice.n.01,
car,car.n.01,
drill,drill.n.01,
dustpan,dustpan.n.02,
lawn_mower,lawn_mower.n.01,
painting,painting.n.01,
powder_bottle,powder.n.03,
rake,rake.n.03,
scarf,scarf.n.01,
scraper,scraper.n.01,
ladder,ladder.n.01,
toothbrush,toothbrush.n.01,
