synset,cook_temperature,substance_cooking_derivative_synset
pesto.n.01,90,cooked__pesto.n.01
penne.n.01,100,cooked__penne.n.01
peanut_oil.n.01,190,cooked__peanut_oil.n.01
molasses.n.01,130,cooked__molasses.n.01
meatball.n.01,63,
jelly_bean.n.01,130,cooked__jelly_bean.n.01
cashew.n.02,72,cooked__cashew.n.01
cheesecake.n.01,82,
chorizo.n.01,71,
cod.n.02,63,
cottage_cheese.n.01,82,cooked__cottage_cheese.n.01
cranberry_juice.n.01,100,cooked__cranberry_juice.n.01
curry_powder.n.01,50,cooked__curry_powder.n.01
cold_cuts.n.01,82,
cider.n.01,100,cooked__cider.n.01
nut_butter.n.01,72,cooked__nut_butter.n.01
salsa.n.01,100,cooked__salsa.n.01
pita.n.01,176,
pumpkin_seed.n.01,177,cooked__pumpkin_seed.n.01
refried_beans.n.01,58,cooked__refried_beans.n.01
risotto.n.01,58,cooked__risotto.n.01
saffron.n.02,50,cooked__saffron.n.01
sage.n.02,50,cooked__sage.n.01
sirloin.n.01,63,
squid.n.01,63,
tenderloin.n.02,63,
tortilla_chip.n.01,176,
turmeric.n.02,58,cooked__turmeric.n.01
garlic_bread.n.01,176,
gelatin.n.02,54,
grapefruit.n.02,58,
coffee_grounds.n.01,93,cooked__coffee_grounds.n.01
lavender.n.01,50,
macaroni.n.02,100,cooked__macaroni.n.01
green_tea.n.01,82,cooked__green_tea.n.01
meringue.n.01,71,cooked__meringue.n.01
dumpling.n.02,100,
enchilada.n.01,176,
wheat.n.02,100,cooked__wheat.n.01
bacon.n.01,63,
black_pepper.n.02,50,cooked__black_pepper.n.01
flower.n.02,58,
honey.n.01,71,cooked__honey.n.01
frosting.n.01,71,cooked__frosting.n.01
cactus.n.01,58,
cardamom.n.02,50,cooked__cardamom.n.01
cherry_tomato.n.02,58,
chicken_leg.n.01,74,
chicken_soup.n.01,74,cooked__chicken_soup.n.01
corn_syrup.n.01,40,cooked__corn_syrup.n.01
crouton.n.01,176,cooked__crouton.n.01
custard.n.01,71,cooked__custard.n.01
dog_food.n.01,100,cooked__dog_food.n.01
pieplant.n.01,58,
ricotta.n.01,71,cooked__ricotta.n.01
halite.n.01,204,
rutabaga.n.01,100,
scone.n.01,93,
shiitake.n.01,58,
snapper.n.02,63,
soy.n.04,100,cooked__soy.n.01
hot_sauce.n.01,100,cooked__hot_sauce.n.01
almond_oil.n.01,190,cooked__almond_oil.n.01
petite_marmite.n.01,40,cooked__petite_marmite.n.01
venison.n.01,63,
yam.n.03,96,
apple_pie.n.01,80,
barley.n.02,58,cooked__barley.n.01
meat_loaf.n.01,74,
milkshake.n.01,71,cooked__milkshake.n.01
miso.n.01,45,cooked__miso.n.01
mustard_seed.n.01,180,cooked__mustard_seed.n.01
nectarine.n.02,58,
omelet.n.01,93,
orange_zest.n.01,58,cooked__orange_zest.n.01
peppermint.n.03,50,
pine_nut.n.01,72,cooked__pine_nut.n.01
tomato_sauce.n.01,58,cooked__tomato_sauce.n.01
pudding.n.01,71,
gourd.n.02,58,
grouper.n.01,63,
halibut.n.01,63,
ham_hock.n.01,63,
lemon_peel.n.01,58,
lima_bean.n.03,58,cooked__lima_bean.n.01
limeade.n.01,100,cooked__limeade.n.01
lemon_juice.n.01,100,cooked__lemon_juice.n.01
cayenne.n.02,50,cooked__cayenne.n.01
egg_white.n.01,72,cooked__egg_white.n.01
egg_yolk.n.01,72,
sour_cream.n.01,71,cooked__sour_cream.n.01
red_wine.n.01,100,cooked__red_wine.n.01
whipped_cream.n.01,71,cooked__whipped_cream.n.01
green_bean.n.01,58,
peanut_butter.n.01,72,cooked__peanut_butter.n.01
roux.n.01,148,cooked__roux.n.01
lentil.n.01,58,cooked__lentil.n.01
margarine.n.01,210,cooked__margarine.n.01
marshmallow.n.01,110,
scallop.n.02,63,
sunflower_seed.n.01,177,cooked__sunflower_seed.n.01
taco.n.02,176,
biscuit.n.01,218,
brussels_sprouts.n.01,58,
coconut_milk.n.01,80,cooked__coconut_milk.n.01
coconut_oil.n.01,190,cooked__coconut_oil.n.01
granola.n.01,148,cooked__granola.n.01
cocoa.n.01,100,cooked__cocoa.n.01
marinara.n.01,58,cooked__marinara.n.01
orange_juice.n.01,100,cooked__orange_juice.n.01
sesame_oil.n.01,190,cooked__sesame_oil.n.01
jimmies.n.01,120,cooked__jimmies.n.01
waffle.n.01,176,
barbecue_sauce.n.01,100,cooked__barbecue_sauce.n.01
black_bean.n.01,58,cooked__black_bean.n.01
brown_rice.n.01,58,cooked__brown_rice.n.01
jelly.n.02,90,cooked__jelly.n.01
soya_milk.n.01,100,cooked__soya_milk.n.01
spaghetti.n.01,58,cooked__spaghetti.n.01
stuffing.n.01,148,cooked__stuffing.n.01
blackberry.n.01,58,
breadcrumb.n.01,148,cooked__breadcrumb.n.01
canola_oil.n.01,190,cooked__canola_oil.n.01
chicken_broth.n.01,100,cooked__chicken_broth.n.01
chocolate_sauce.n.01,100,cooked__chocolate_sauce.n.01
coconut.n.02,58,
cornmeal.n.01,148,cooked__cornmeal.n.01
espresso.n.01,100,cooked__espresso.n.01
mussel.n.01,63,
peanut.n.01,72,
tomato_paste.n.01,58,cooked__tomato_paste.n.01
brownie.n.03,180,
ground_beef.n.01,72,cooked__ground_beef.n.01
bay_leaf.n.01,58,
hotdog.n.02,60,
lime_juice.n.01,100,cooked__lime_juice.n.01
pecan.n.03,72,cooked__pecan.n.01
raisin.n.01,58,cooked__raisin.n.01
bean_curd.n.01,58,
tuna.n.02,63,
hummus.n.01,58,cooked__hummus.n.01
lemonade.n.01,100,cooked__lemonade.n.01
pea_pod.n.01,58,
tortilla.n.01,190,
filling.n.03,58,cooked__filling.n.01
gazpacho.n.01,58,cooked__gazpacho.n.01
clove.n.04,50,cooked__clove.n.01
mace.n.03,50,cooked__mace.n.01
potato_pancake.n.01,190,
mustard.n.03,50,
oxtail.n.01,63,
paella.n.01,58,
pepperoni.n.01,74,
quail.n.01,74,
quiche.n.02,180,
schnitzel.n.01,74,
chinese_anise.n.02,50,
wine_sauce.n.01,100,cooked__wine_sauce.n.01
allspice.n.03,50,cooked__allspice.n.01
antipasto.n.01,58,
beef_broth.n.01,100,cooked__beef_broth.n.01
bratwurst.n.01,72,
brisket.n.01,63,
broccoli_rabe.n.02,58,
caraway_seed.n.01,50,cooked__caraway_seed.n.01
chanterelle.n.01,204,
danish.n.02,180,
bouillon.n.01,100,cooked__bouillon.n.01
cooking_oil.n.01,190,cooked__cooking_oil.n.01
coriander.n.02,50,cooked__coriander.n.01
crayfish.n.02,63,
iced_chocolate.n.01,100,cooked__iced_chocolate.n.01
half__strawberry.n.01,58,
beefsteak_tomato.n.01,58,
cheese_tart.n.01,180,
sesame_seed.n.01,177,cooked__sesame_seed.n.01
diced__zucchini.n.01,58,cooked__diced__zucchini.n.01
diced__beet.n.01,58,cooked__diced__beet.n.01
half__mushroom.n.01,58,
half__peach.n.01,58,
iced_cappuccino.n.01,100,cooked__iced_cappuccino.n.01
diced__watermelon.n.01,58,cooked__diced__watermelon.n.01
chia_seed.n.01,50,cooked__chia_seed.n.01
wafer.n.02,180,
bouillon_cube.n.01,100,
heavy_cream.n.01,100,cooked__heavy_cream.n.01
diced__orange.n.01,58,cooked__diced__orange.n.01
cinnamon_bark.n.01,72,
sliced__lime.n.01,58,
chocolate_cookie_dough.n.01,175,
shortening.n.01,40,cooked__shortening.n.01
sliced__eggplant.n.01,58,
diced__chicken_breast.n.01,74,cooked__diced__chicken_breast.n.01
brown_sugar.n.01,155,cooked__brown_sugar.n.01
half__pineapple.n.01,58,
bok_choy.n.02,58,
french_toast.n.01,200,
fritter_batter.n.01,180,cooked__fritter_batter.n.01
butter_cookie.n.01,180,
diced__lettuce.n.01,58,cooked__diced__lettuce.n.01
diced__steak.n.01,74,cooked__diced__steak.n.01
ravioli.n.01,100,cooked__ravioli.n.01
diced__vidalia_onion.n.01,58,cooked__diced__vidalia_onion.n.01
macaroon.n.01,180,
mango.n.02,58,
durian.n.02,58,
oat.n.02,85,cooked__oat.n.01
heap__of__oatmeal.n.01,85,
club_sandwich.n.01,200,
half__apple_pie.n.01,180,
broccolini.n.01,58,
diced__chicken.n.01,74,cooked__diced__chicken.n.01
peanut.n.04,72,cooked__peanut.n.01
hamburger_bun.n.01,200,
sour_bread.n.01,200,
prawn.n.01,74,
beef_stew.n.01,74,cooked__beef_stew.n.01
cinnamon_roll.n.01,180,
heap__of__raisins.n.01,58,
cinnamon_sugar.n.01,180,cooked__cinnamon_sugar.n.01
arepa.n.01,180,
tomato_rice.n.01,58,cooked__tomato_rice.n.01
cocoa_powder.n.01,50,cooked__cocoa_powder.n.01
coca_cola.n.01,100,cooked__coca_cola.n.01
half__coconut.n.01,58,
fennel.n.04,58,cooked__fennel.n.01
edible_cookie_dough.n.01,180,
brownie_batter.n.01,180,cooked__brownie_batter.n.01
diced__apple.n.01,58,cooked__diced__apple.n.01
kielbasa.n.01,74,
half__pomegranate.n.01,58,
lamb.n.05,74,
sliced__chocolate_cake.n.01,180,
diced__pineapple.n.01,58,cooked__diced__pineapple.n.01
coffee_bean.n.01,100,cooked__coffee_bean.n.01
sliced__tomato.n.01,58,
white_turnip.n.02,58,
onion_powder.n.01,50,cooked__onion_powder.n.01
kabob.n.01,74,
lamb_stew.n.01,74,cooked__lamb_stew.n.01
diced__green_onion.n.01,58,cooked__diced__green_onion.n.01
blueberry_compote.n.01,58,cooked__blueberry_compote.n.01
diced__cucumber.n.01,58,cooked__diced__cucumber.n.01
parsnip.n.03,58,
virginia_ham.n.01,74,
cantaloup.n.02,58,
diced__bell_pepper.n.01,58,cooked__diced__bell_pepper.n.01
half__eggplant.n.01,58,
half__vidalia_onion.n.01,58,
half__lemon.n.01,58,
diced__kiwi.n.01,58,cooked__diced__kiwi.n.01
marjoram.n.02,50,cooked__marjoram.n.01
lemon_water.n.01,100,cooked__lemon_water.n.01
frankfurter_bun.n.01,180,
whole_garlic.n.01,58,
half__orange.n.01,58,
poultry_seasoning.n.01,50,cooked__poultry_seasoning.n.01
half__pear.n.01,58,
sugar_cookie_dough.n.01,180,
blueberry_mousse.n.01,70,cooked__blueberry_mousse.n.01
diced__head_cabbage.n.01,58,cooked__diced__head_cabbage.n.01
chicken_curry.n.01,74,cooked__chicken_curry.n.01
dried_apricot.n.01,58,
diced__strawberry.n.01,58,cooked__diced__strawberry.n.01
arugula.n.02,58,
half__lime.n.01,58,
sliced__roast_beef.n.01,74,
drip_coffee.n.01,100,cooked__drip_coffee.n.01
pizza_dough.n.01,180,
cheese_sauce.n.01,90,cooked__cheese_sauce.n.01
cornbread_batter.n.01,180,cooked__cornbread_batter.n.01
pancake_batter.n.01,180,cooked__pancake_batter.n.01
chicken.n.01,74,
sliced__onion.n.01,58,
huitre.n.01,74,
hard-boiled_egg.n.01,74,
butternut_squash.n.02,58,
half__plum.n.01,58,
clam.n.03,74,
eggnog.n.01,74,cooked__eggnog.n.01
gumbo.n.03,180,
auricularia.n.01,58,
banana_bread.n.01,180,
feta.n.01,90,
granola_bar.n.01,180,
worcester_sauce.n.01,100,cooked__worcester_sauce.n.01
diced__bratwurst.n.01,74,cooked__diced__bratwurst.n.01
cookie_dough.n.01,180,
french_fries.n.02,100,
carne_asada.n.01,74,
half__mango.n.01,58,
lobster.n.01,58,
cherry_filling.n.01,58,cooked__cherry_filling.n.01
sliced__melon.n.01,58,
ramen.n.01,100,
trout.n.01,74,
diced__broccoli.n.01,58,cooked__diced__broccoli.n.01
chicken_tender.n.01,74,
sprout.n.01,58,
half__apple.n.01,58,
diced__potato.n.01,58,cooked__diced__potato.n.01
spice_cookie_dough.n.01,180,
granulated_salt.n.01,100,cooked__granulated_salt.n.01
spice_cookie.n.01,180,
diced__lemon.n.01,58,cooked__diced__lemon.n.01
heap__of__granola.n.01,180,
buttermilk_pancake.n.01,180,
instant_coffee.n.01,100,cooked__instant_coffee.n.01
diced__chili.n.01,100,cooked__diced__chili.n.01
bagel_dough.n.01,180,
sugar_cookie.n.01,180,
diced__spinach.n.01,58,cooked__diced__spinach.n.01
patty.n.01,74,
raw_egg.n.01,90,
tofu.n.02,150,
diced__beefsteak_tomato.n.01,58,cooked__diced__beefsteak_tomato.n.01
macaroni_and_cheese.n.01,90,
bread_slice.n.01,180,
sliced__papaya.n.01,58,
half__hard-boiled_egg.n.01,74,
muffin_batter.n.01,180,cooked__muffin_batter.n.01
half__chestnut.n.01,58,
diced__avocado.n.01,74,cooked__diced__avocado.n.01
roll_dough.n.01,180,
chili_powder.n.01,50,cooked__chili_powder.n.01
diced__carrot.n.01,58,cooked__diced__carrot.n.01
soft_roll.n.01,180,
orzo.n.01,100,cooked__orzo.n.01
vanilla.n.01,100,
white_rice.n.01,100,cooked__white_rice.n.01
cookie_stick.n.01,180,
half__apricot.n.01,58,
fruitcake.n.02,180,
arborio_rice.n.01,100,cooked__arborio_rice.n.01
beaten_egg.n.01,74,cooked__beaten_egg.n.01
diced__mango.n.01,58,cooked__diced__mango.n.01
cake_mix.n.01,180,cooked__cake_mix.n.01
kidney_bean.n.02,100,cooked__kidney_bean.n.01
veal.n.01,74,
burrito.n.01,140,
half__zucchini.n.01,58,
frank.n.02,74,
jerk_seasoning.n.01,50,cooked__jerk_seasoning.n.01
diced__celery.n.01,58,cooked__diced__celery.n.01
cafe_au_lait.n.01,100,cooked__cafe_au_lait.n.01
onion_ring_batter.n.01,180,cooked__onion_ring_batter.n.01
whole_milk.n.01,80,cooked__whole_milk.n.01
half__pomelo.n.01,58,
gooseberry.n.02,58,
chicken_breast.n.02,74,
leek.n.02,58,
diced__chard.n.01,58,cooked__diced__chard.n.01
sliced__lemon.n.01,58,
crescent_roll.n.01,180,
chard.n.02,58,
cauliflower.n.02,58,
half__beefsteak_tomato.n.01,58,
pumpkin_pie_spice.n.01,50,cooked__pumpkin_pie_spice.n.01
chickpea.n.03,100,cooked__chickpea.n.01
dumpling.n.01,100,
salmon.n.03,74,
half__watermelon.n.01,58,
waffle_batter.n.01,180,cooked__waffle_batter.n.01
ground_coffee.n.01,100,cooked__ground_coffee.n.01
bap.n.01,180,
scrambled_eggs.n.01,74,cooked__scrambled_eggs.n.01
sugar_syrup.n.01,180,cooked__sugar_syrup.n.01
sliced__brisket.n.01,74,
diced__clove.n.01,58,cooked__diced__clove.n.01
half__bell_pepper.n.01,58,
chocolate_chip_cookie.n.01,180,
porkchop.n.01,74,
cheese_pastry_filling.n.01,90,cooked__cheese_pastry_filling.n.01
sliced__cucumber.n.01,58,
green_tea_latte.n.01,100,cooked__green_tea_latte.n.01
half__kiwi.n.01,58,
chicken_wing.n.01,74,
doughnut.n.02,180,
turkey_leg.n.01,74,
hazelnut.n.02,72,
chocolate_biscuit.n.01,180,
mashed_potato.n.02,58,cooked__mashed_potato.n.01
diced__virginia_ham.n.01,74,cooked__diced__virginia_ham.n.01
papaya.n.02,58,
chopped__lettuce.n.01,58,
lemon-pepper_seasoning.n.01,50,cooked__lemon-pepper_seasoning.n.01
peppermint.n.01,50,
biscuit_dough.n.01,180,
chocolate_cake.n.01,180,
quinoa.n.01,100,cooked__quinoa.n.01
fennel.n.02,58,
red_meat_sauce.n.01,74,cooked__red_meat_sauce.n.01
half__potato.n.01,58,
cream_cheese.n.01,90,cooked__cream_cheese.n.01
diced__antipasto.n.01,58,cooked__diced__antipasto.n.01
diced__antipasto.n.01,58,cooked__diced__antipasto.n.01
diced__apricot.n.01,58,cooked__diced__apricot.n.01
diced__arepa.n.01,180,cooked__diced__arepa.n.01
diced__artichoke.n.01,58,cooked__diced__artichoke.n.01
diced__arugula.n.01,58,cooked__diced__arugula.n.01
diced__asparagus.n.01,58,cooked__diced__asparagus.n.01
diced__auricularia.n.01,58,cooked__diced__auricularia.n.01
diced__bacon.n.01,63,cooked__diced__bacon.n.01
diced__bagel.n.01,190,cooked__diced__bagel.n.01
diced__bagel_dough.n.01,180,cooked__diced__bagel_dough.n.01
diced__baguet.n.01,177,cooked__diced__baguet.n.01
diced__banana.n.01,58,cooked__diced__banana.n.01
diced__banana_bread.n.01,180,cooked__diced__banana_bread.n.01
diced__bay_leaf.n.01,58,cooked__diced__bay_leaf.n.01
diced__bean_curd.n.01,58,cooked__diced__bean_curd.n.01
diced__biscuit_dough.n.01,180,cooked__diced__biscuit_dough.n.01
diced__blackberry.n.01,58,cooked__diced__blackberry.n.01
diced__bok_choy.n.01,58,cooked__diced__bok_choy.n.01
diced__brisket.n.01,63,cooked__diced__brisket.n.01
diced__broccoli_rabe.n.01,58,cooked__diced__broccoli_rabe.n.01
diced__broccolini.n.01,58,cooked__diced__broccolini.n.01
diced__brownie.n.01,180,cooked__diced__brownie.n.01
diced__brussels_sprouts.n.01,58,cooked__diced__brussels_sprouts.n.01
diced__burrito.n.01,140,cooked__diced__burrito.n.01
diced__butter_cookie.n.01,180,cooked__diced__butter_cookie.n.01
diced__buttermilk_pancake.n.01,180,cooked__diced__buttermilk_pancake.n.01
diced__butternut_squash.n.01,58,cooked__diced__butternut_squash.n.01
diced__cantaloup.n.01,58,cooked__diced__cantaloup.n.01
diced__carne_asada.n.01,74,cooked__diced__carne_asada.n.01
diced__cauliflower.n.01,58,cooked__diced__cauliflower.n.01
diced__chanterelle.n.01,204,cooked__diced__chanterelle.n.01
diced__cheese_tart.n.01,180,cooked__diced__cheese_tart.n.01
diced__cheesecake.n.01,82,cooked__diced__cheesecake.n.01
diced__cherry.n.01,58,cooked__diced__cherry.n.01
diced__cherry_tomato.n.01,58,cooked__diced__cherry_tomato.n.01
diced__chestnut.n.01,58,cooked__diced__chestnut.n.01
diced__chicken_leg.n.01,74,cooked__diced__chicken_leg.n.01
diced__chicken_tender.n.01,74,cooked__diced__chicken_tender.n.01
diced__chicken_wing.n.01,74,cooked__diced__chicken_wing.n.01
diced__chives.n.01,58,cooked__diced__chives.n.01
diced__chocolate_biscuit.n.01,180,cooked__diced__chocolate_biscuit.n.01
diced__chocolate_cake.n.01,180,cooked__diced__chocolate_cake.n.01
diced__chocolate_chip_cookie.n.01,180,cooked__diced__chocolate_chip_cookie.n.01
diced__chocolate_cookie_dough.n.01,175,cooked__diced__chocolate_cookie_dough.n.01
diced__chorizo.n.01,71,cooked__diced__chorizo.n.01
diced__cinnamon_roll.n.01,180,cooked__diced__cinnamon_roll.n.01
diced__club_sandwich.n.01,200,cooked__diced__club_sandwich.n.01
diced__coconut.n.01,58,cooked__diced__coconut.n.01
diced__cod.n.01,63,cooked__diced__cod.n.01
diced__cold_cuts.n.01,82,cooked__diced__cold_cuts.n.01
diced__crab.n.01,63,cooked__diced__crab.n.01
diced__crayfish.n.01,63,cooked__diced__crayfish.n.01
diced__crescent_roll.n.01,180,cooked__diced__crescent_roll.n.01
diced__danish.n.01,180,cooked__diced__danish.n.01
diced__date.n.01,58,cooked__diced__date.n.01
diced__doughnut.n.01,180,cooked__diced__doughnut.n.01
diced__dried_apricot.n.01,58,cooked__diced__dried_apricot.n.01
diced__duck.n.01,74,cooked__diced__duck.n.01
diced__dumpling.n.01,100,cooked__diced__dumpling.n.01
diced__durian.n.01,58,cooked__diced__durian.n.01
diced__edible_cookie_dough.n.01,180,cooked__diced__edible_cookie_dough.n.01
diced__eggplant.n.01,58,cooked__diced__eggplant.n.01
diced__enchilada.n.01,176,cooked__diced__enchilada.n.01
diced__fennel.n.01,58,cooked__diced__fennel.n.01
diced__fillet.n.01,63,cooked__diced__fillet.n.01
diced__frank.n.01,74,cooked__diced__frank.n.01
diced__frankfurter_bun.n.01,180,cooked__diced__frankfurter_bun.n.01
diced__french_fries.n.01,100,cooked__diced__french_fries.n.01
diced__french_toast.n.01,200,cooked__diced__french_toast.n.01
diced__fruitcake.n.01,180,cooked__diced__fruitcake.n.01
diced__garlic_bread.n.01,176,cooked__diced__garlic_bread.n.01
diced__gelatin.n.01,54,cooked__diced__gelatin.n.01
diced__ginger.n.01,58,cooked__diced__ginger.n.01
diced__gingerbread.n.01,175,cooked__diced__gingerbread.n.01
diced__gooseberry.n.01,58,cooked__diced__gooseberry.n.01
diced__gourd.n.01,58,cooked__diced__gourd.n.01
diced__granola_bar.n.01,180,cooked__diced__granola_bar.n.01
diced__grapefruit.n.01,58,cooked__diced__grapefruit.n.01
diced__green_bean.n.01,58,cooked__diced__green_bean.n.01
diced__grouper.n.01,63,cooked__diced__grouper.n.01
diced__halibut.n.01,63,cooked__diced__halibut.n.01
diced__ham_hock.n.01,63,cooked__diced__ham_hock.n.01
diced__hamburger.n.01,71,cooked__diced__hamburger.n.01
diced__hamburger_bun.n.01,200,cooked__diced__hamburger_bun.n.01
diced__hard-boiled_egg.n.01,74,cooked__diced__hard-boiled_egg.n.01
diced__hazelnut.n.01,72,cooked__diced__hazelnut.n.01
diced__hip.n.01,58,cooked__diced__hip.n.01
diced__hotdog.n.01,60,cooked__diced__hotdog.n.01
diced__huitre.n.01,74,cooked__diced__huitre.n.01
diced__kabob.n.01,74,cooked__diced__kabob.n.01
diced__kale.n.01,58,cooked__diced__kale.n.01
diced__kielbasa.n.01,74,cooked__diced__kielbasa.n.01
diced__lamb.n.01,74,cooked__diced__lamb.n.01
diced__leek.n.01,58,cooked__diced__leek.n.01
diced__lemon_peel.n.01,58,cooked__diced__lemon_peel.n.01
diced__lime.n.01,58,cooked__diced__lime.n.01
diced__lobster.n.01,58,cooked__diced__lobster.n.01
diced__macaroon.n.01,180,cooked__diced__macaroon.n.01
diced__marshmallow.n.01,110,cooked__diced__marshmallow.n.01
diced__meat_loaf.n.01,74,cooked__diced__meat_loaf.n.01
diced__meatball.n.01,63,cooked__diced__meatball.n.01
diced__muffin.n.01,93,cooked__diced__muffin.n.01
diced__mushroom.n.01,58,cooked__diced__mushroom.n.01
diced__mustard.n.01,50,cooked__diced__mustard.n.01
diced__nectarine.n.01,58,cooked__diced__nectarine.n.01
diced__olive.n.01,58,cooked__diced__olive.n.01
diced__omelet.n.01,93,cooked__diced__omelet.n.01
diced__oxtail.n.01,63,cooked__diced__oxtail.n.01
diced__parsley.n.01,58,cooked__diced__parsley.n.01
diced__parsnip.n.01,58,cooked__diced__parsnip.n.01
diced__pastry.n.01,204,cooked__diced__pastry.n.01
diced__peach.n.01,58,cooked__diced__peach.n.01
diced__pear.n.01,58,cooked__diced__pear.n.01
diced__peppermint.n.01,50,cooked__diced__peppermint.n.01
diced__pepperoni.n.01,74,cooked__diced__pepperoni.n.01
diced__pie_crust.n.01,200,cooked__diced__pie_crust.n.01
diced__pieplant.n.01,58,cooked__diced__pieplant.n.01
diced__pita.n.01,176,cooked__diced__pita.n.01
diced__pizza.n.01,246,cooked__diced__pizza.n.01
diced__pizza_dough.n.01,180,cooked__diced__pizza_dough.n.01
diced__plum.n.01,58,cooked__diced__plum.n.01
diced__pork.n.01,63,cooked__diced__pork.n.01
diced__porkchop.n.01,74,cooked__diced__porkchop.n.01
diced__potato_pancake.n.01,190,cooked__diced__potato_pancake.n.01
diced__prawn.n.01,74,cooked__diced__prawn.n.01
diced__prosciutto.n.01,71,cooked__diced__prosciutto.n.01
diced__pumpkin.n.01,58,cooked__diced__pumpkin.n.01
diced__quail.n.01,74,cooked__diced__quail.n.01
diced__quiche.n.01,180,cooked__diced__quiche.n.01
diced__radish.n.01,58,cooked__diced__radish.n.01
diced__ramen.n.01,100,cooked__diced__ramen.n.01
diced__rib.n.01,63,cooked__diced__rib.n.01
diced__rutabaga.n.01,100,cooked__diced__rutabaga.n.01
diced__salmon.n.01,74,cooked__diced__salmon.n.01
diced__scone.n.01,93,cooked__diced__scone.n.01
diced__shiitake.n.01,58,cooked__diced__shiitake.n.01
diced__sirloin.n.01,63,cooked__diced__sirloin.n.01
diced__snapper.n.01,63,cooked__diced__snapper.n.01
diced__sour_bread.n.01,200,cooked__diced__sour_bread.n.01
diced__spice_cookie.n.01,180,cooked__diced__spice_cookie.n.01
diced__spice_cookie_dough.n.01,180,cooked__diced__spice_cookie_dough.n.01
diced__sprout.n.01,58,cooked__diced__sprout.n.01
diced__squid.n.01,63,cooked__diced__squid.n.01
diced__sugar_cookie.n.01,180,cooked__diced__sugar_cookie.n.01
diced__sugar_cookie_dough.n.01,180,cooked__diced__sugar_cookie_dough.n.01
diced__sushi.n.01,71,cooked__diced__sushi.n.01
diced__sweet_corn.n.01,58,cooked__diced__sweet_corn.n.01
diced__taco.n.01,176,cooked__diced__taco.n.01
diced__tenderloin.n.01,63,cooked__diced__tenderloin.n.01
diced__toast.n.01,177,cooked__diced__toast.n.01
diced__tofu.n.01,150,cooked__diced__tofu.n.01
diced__tortilla.n.01,190,cooked__diced__tortilla.n.01
