synset,uncooked_diceable_derivative_synset,cooked_diceable_derivative_synset
half__cheesecake.n.01,diced__cheesecake.n.01,cooked__diced__cheesecake.n.01
half__cherry.n.01,diced__cherry.n.01,cooked__diced__cherry.n.01
half__cherry_tomato.n.01,diced__cherry_tomato.n.01,cooked__diced__cherry_tomato.n.01
half__chestnut.n.01,diced__chestnut.n.01,cooked__diced__chestnut.n.01
half__chicken.n.01,diced__chicken.n.01,cooked__diced__chicken.n.01
half__chicken_breast.n.01,diced__chicken_breast.n.01,cooked__diced__chicken_breast.n.01
half__chicken_leg.n.01,diced__chicken_leg.n.01,cooked__diced__chicken_leg.n.01
half__chicken_tender.n.01,diced__chicken_tender.n.01,cooked__diced__chicken_tender.n.01
half__chicken_wing.n.01,diced__chicken_wing.n.01,cooked__diced__chicken_wing.n.01
half__chili.n.01,diced__chili.n.01,cooked__diced__chili.n.01
half__chives.n.01,diced__chives.n.01,cooked__diced__chives.n.01
half__chocolate_biscuit.n.01,diced__chocolate_biscuit.n.01,cooked__diced__chocolate_biscuit.n.01
half__chocolate_cake.n.01,diced__chocolate_cake.n.01,cooked__diced__chocolate_cake.n.01
half__chocolate_chip_cookie.n.01,diced__chocolate_chip_cookie.n.01,cooked__diced__chocolate_chip_cookie.n.01
half__chocolate_cookie_dough.n.01,diced__chocolate_cookie_dough.n.01,cooked__diced__chocolate_cookie_dough.n.01
half__chorizo.n.01,diced__chorizo.n.01,cooked__diced__chorizo.n.01
half__cinnamon_roll.n.01,diced__cinnamon_roll.n.01,cooked__diced__cinnamon_roll.n.01
half__club_sandwich.n.01,diced__club_sandwich.n.01,cooked__diced__club_sandwich.n.01
half__coconut.n.01,diced__coconut.n.01,cooked__diced__coconut.n.01
half__cod.n.01,diced__cod.n.01,cooked__diced__cod.n.01
half__cold_cuts.n.01,diced__cold_cuts.n.01,cooked__diced__cold_cuts.n.01
half__crab.n.01,diced__crab.n.01,cooked__diced__crab.n.01
half__crayfish.n.01,diced__crayfish.n.01,cooked__diced__crayfish.n.01
half__crescent_roll.n.01,diced__crescent_roll.n.01,cooked__diced__crescent_roll.n.01
half__cucumber.n.01,diced__cucumber.n.01,cooked__diced__cucumber.n.01
half__cupcake.n.01,diced__cupcake.n.01,
half__danish.n.01,diced__danish.n.01,cooked__diced__danish.n.01
half__date.n.01,diced__date.n.01,cooked__diced__date.n.01
half__doughnut.n.01,diced__doughnut.n.01,cooked__diced__doughnut.n.01
half__dried_apricot.n.01,diced__dried_apricot.n.01,cooked__diced__dried_apricot.n.01
half__duck.n.01,diced__duck.n.01,cooked__diced__duck.n.01
half__dumpling.n.01,diced__dumpling.n.01,cooked__diced__dumpling.n.01
half__durian.n.01,diced__durian.n.01,cooked__diced__durian.n.01
half__edible_cookie_dough.n.01,diced__edible_cookie_dough.n.01,cooked__diced__edible_cookie_dough.n.01
half__eggplant.n.01,diced__eggplant.n.01,cooked__diced__eggplant.n.01
half__enchilada.n.01,diced__enchilada.n.01,cooked__diced__enchilada.n.01
half__entire_leaf.n.01,diced__entire_leaf.n.01,
half__fennel.n.01,diced__fennel.n.01,cooked__diced__fennel.n.01
half__feta.n.01,diced__feta.n.01,
half__fillet.n.01,diced__fillet.n.01,cooked__diced__fillet.n.01
half__frank.n.01,diced__frank.n.01,cooked__diced__frank.n.01
half__frankfurter_bun.n.01,diced__frankfurter_bun.n.01,cooked__diced__frankfurter_bun.n.01
half__french_fries.n.01,diced__french_fries.n.01,cooked__diced__french_fries.n.01
half__french_toast.n.01,diced__french_toast.n.01,cooked__diced__french_toast.n.01
half__fruitcake.n.01,diced__fruitcake.n.01,cooked__diced__fruitcake.n.01
half__garlic_bread.n.01,diced__garlic_bread.n.01,cooked__diced__garlic_bread.n.01
half__gelatin.n.01,diced__gelatin.n.01,cooked__diced__gelatin.n.01
half__ginger.n.01,diced__ginger.n.01,cooked__diced__ginger.n.01
half__gingerbread.n.01,diced__gingerbread.n.01,cooked__diced__gingerbread.n.01
half__gooseberry.n.01,diced__gooseberry.n.01,cooked__diced__gooseberry.n.01
half__gourd.n.01,diced__gourd.n.01,cooked__diced__gourd.n.01
half__granola_bar.n.01,diced__granola_bar.n.01,cooked__diced__granola_bar.n.01
half__grapefruit.n.01,diced__grapefruit.n.01,cooked__diced__grapefruit.n.01
half__green_bean.n.01,diced__green_bean.n.01,cooked__diced__green_bean.n.01
half__green_onion.n.01,diced__green_onion.n.01,cooked__diced__green_onion.n.01
half__grouper.n.01,diced__grouper.n.01,cooked__diced__grouper.n.01
half__halibut.n.01,diced__halibut.n.01,cooked__diced__halibut.n.01
half__ham_hock.n.01,diced__ham_hock.n.01,cooked__diced__ham_hock.n.01
half__hamburger.n.01,diced__hamburger.n.01,cooked__diced__hamburger.n.01
half__hamburger_bun.n.01,diced__hamburger_bun.n.01,cooked__diced__hamburger_bun.n.01
half__hard-boiled_egg.n.01,diced__hard-boiled_egg.n.01,cooked__diced__hard-boiled_egg.n.01
half__hazelnut.n.01,diced__hazelnut.n.01,cooked__diced__hazelnut.n.01
half__head_cabbage.n.01,diced__head_cabbage.n.01,cooked__diced__head_cabbage.n.01
half__hemp.n.01,diced__hemp.n.01,
half__hip.n.01,diced__hip.n.01,cooked__diced__hip.n.01
half__hotdog.n.01,diced__hotdog.n.01,cooked__diced__hotdog.n.01
half__huitre.n.01,diced__huitre.n.01,cooked__diced__huitre.n.01
half__ivy.n.01,diced__ivy.n.01,
half__kabob.n.01,diced__kabob.n.01,cooked__diced__kabob.n.01
half__kale.n.01,diced__kale.n.01,cooked__diced__kale.n.01
half__kielbasa.n.01,diced__kielbasa.n.01,cooked__diced__kielbasa.n.01
half__kiwi.n.01,diced__kiwi.n.01,cooked__diced__kiwi.n.01
half__lamb.n.01,diced__lamb.n.01,cooked__diced__lamb.n.01
half__leek.n.01,diced__leek.n.01,cooked__diced__leek.n.01
half__lemon.n.01,diced__lemon.n.01,cooked__diced__lemon.n.01
half__lemon_peel.n.01,diced__lemon_peel.n.01,cooked__diced__lemon_peel.n.01
half__lettuce.n.01,diced__lettuce.n.01,cooked__diced__lettuce.n.01
half__lime.n.01,diced__lime.n.01,cooked__diced__lime.n.01
half__lobster.n.01,diced__lobster.n.01,cooked__diced__lobster.n.01
half__macaroon.n.01,diced__macaroon.n.01,cooked__diced__macaroon.n.01
half__mango.n.01,diced__mango.n.01,cooked__diced__mango.n.01
half__marshmallow.n.01,diced__marshmallow.n.01,cooked__diced__marshmallow.n.01
half__meat_loaf.n.01,diced__meat_loaf.n.01,cooked__diced__meat_loaf.n.01
half__meatball.n.01,diced__meatball.n.01,cooked__diced__meatball.n.01
half__mozzarella.n.01,diced__mozzarella.n.01,
half__muffin.n.01,diced__muffin.n.01,cooked__diced__muffin.n.01
half__mushroom.n.01,diced__mushroom.n.01,cooked__diced__mushroom.n.01
half__mustard.n.01,diced__mustard.n.01,cooked__diced__mustard.n.01
half__nectarine.n.01,diced__nectarine.n.01,cooked__diced__nectarine.n.01
half__olive.n.01,diced__olive.n.01,cooked__diced__olive.n.01
half__omelet.n.01,diced__omelet.n.01,cooked__diced__omelet.n.01
half__orange.n.01,diced__orange.n.01,cooked__diced__orange.n.01
half__oxtail.n.01,diced__oxtail.n.01,cooked__diced__oxtail.n.01
half__papaya.n.01,diced__papaya.n.01,cooked__diced__papaya.n.01
half__parsley.n.01,diced__parsley.n.01,cooked__diced__parsley.n.01
half__parsnip.n.01,diced__parsnip.n.01,cooked__diced__parsnip.n.01
half__pastry.n.01,diced__pastry.n.01,cooked__diced__pastry.n.01
half__peach.n.01,diced__peach.n.01,cooked__diced__peach.n.01
half__pear.n.01,diced__pear.n.01,cooked__diced__pear.n.01
half__peppermint.n.01,diced__peppermint.n.01,cooked__diced__peppermint.n.01
half__pepperoni.n.01,diced__pepperoni.n.01,cooked__diced__pepperoni.n.01
half__pickle.n.01,diced__pickle.n.01,
half__pie_crust.n.01,diced__pie_crust.n.01,cooked__diced__pie_crust.n.01
half__pieplant.n.01,diced__pieplant.n.01,cooked__diced__pieplant.n.01
half__pineapple.n.01,diced__pineapple.n.01,cooked__diced__pineapple.n.01
half__pita.n.01,diced__pita.n.01,cooked__diced__pita.n.01
half__pizza.n.01,diced__pizza.n.01,cooked__diced__pizza.n.01
half__pizza_dough.n.01,diced__pizza_dough.n.01,cooked__diced__pizza_dough.n.01
half__plum.n.01,diced__plum.n.01,cooked__diced__plum.n.01
half__pomegranate.n.01,diced__pomegranate.n.01,cooked__diced__pomegranate.n.01
half__pomelo.n.01,diced__pomelo.n.01,cooked__diced__pomelo.n.01
half__pork.n.01,diced__pork.n.01,cooked__diced__pork.n.01
half__porkchop.n.01,diced__porkchop.n.01,cooked__diced__porkchop.n.01
half__potato.n.01,diced__potato.n.01,cooked__diced__potato.n.01
half__potato_pancake.n.01,diced__potato_pancake.n.01,cooked__diced__potato_pancake.n.01
half__prawn.n.01,diced__prawn.n.01,cooked__diced__prawn.n.01
half__pretzel.n.01,diced__pretzel.n.01,
half__prosciutto.n.01,diced__prosciutto.n.01,cooked__diced__prosciutto.n.01
half__pumpkin.n.01,diced__pumpkin.n.01,cooked__diced__pumpkin.n.01
half__quail.n.01,diced__quail.n.01,cooked__diced__quail.n.01
half__quiche.n.01,diced__quiche.n.01,cooked__diced__quiche.n.01
half__radish.n.01,diced__radish.n.01,cooked__diced__radish.n.01
half__ramen.n.01,diced__ramen.n.01,cooked__diced__ramen.n.01
half__rib.n.01,diced__rib.n.01,cooked__diced__rib.n.01
half__rutabaga.n.01,diced__rutabaga.n.01,cooked__diced__rutabaga.n.01
half__salmon.n.01,diced__salmon.n.01,cooked__diced__salmon.n.01
half__scone.n.01,diced__scone.n.01,cooked__diced__scone.n.01
half__shiitake.n.01,diced__shiitake.n.01,cooked__diced__shiitake.n.01
half__sirloin.n.01,diced__sirloin.n.01,cooked__diced__sirloin.n.01
half__snapper.n.01,diced__snapper.n.01,cooked__diced__snapper.n.01
half__sour_bread.n.01,diced__sour_bread.n.01,cooked__diced__sour_bread.n.01
half__spice_cookie.n.01,diced__spice_cookie.n.01,cooked__diced__spice_cookie.n.01
half__spice_cookie_dough.n.01,diced__spice_cookie_dough.n.01,cooked__diced__spice_cookie_dough.n.01
half__spinach.n.01,diced__spinach.n.01,cooked__diced__spinach.n.01
half__sprout.n.01,diced__sprout.n.01,cooked__diced__sprout.n.01
half__squid.n.01,diced__squid.n.01,cooked__diced__squid.n.01
half__steak.n.01,diced__steak.n.01,cooked__diced__steak.n.01
half__strawberry.n.01,diced__strawberry.n.01,cooked__diced__strawberry.n.01
half__sugar_cookie.n.01,diced__sugar_cookie.n.01,cooked__diced__sugar_cookie.n.01
half__sugar_cookie_dough.n.01,diced__sugar_cookie_dough.n.01,cooked__diced__sugar_cookie_dough.n.01
half__sunflower.n.01,diced__sunflower.n.01,
half__sushi.n.01,diced__sushi.n.01,cooked__diced__sushi.n.01
half__sweet_corn.n.01,diced__sweet_corn.n.01,cooked__diced__sweet_corn.n.01
half__swiss_cheese.n.01,diced__swiss_cheese.n.01,
half__taco.n.01,diced__taco.n.01,cooked__diced__taco.n.01
half__tenderloin.n.01,diced__tenderloin.n.01,cooked__diced__tenderloin.n.01
half__tiramisu.n.01,diced__tiramisu.n.01,
half__toast.n.01,diced__toast.n.01,cooked__diced__toast.n.01
half__tofu.n.01,diced__tofu.n.01,cooked__diced__tofu.n.01
half__tortilla.n.01,diced__tortilla.n.01,cooked__diced__tortilla.n.01
half__tortilla_chip.n.01,diced__tortilla_chip.n.01,cooked__diced__tortilla_chip.n.01
half__trout.n.01,diced__trout.n.01,cooked__diced__trout.n.01
half__trunk.n.01,diced__trunk.n.01,
half__tulip.n.01,diced__tulip.n.01,
half__tuna.n.01,diced__tuna.n.01,cooked__diced__tuna.n.01
half__turkey.n.01,diced__turkey.n.01,cooked__diced__turkey.n.01
half__turkey_leg.n.01,diced__turkey_leg.n.01,cooked__diced__turkey_leg.n.01
half__vanilla.n.01,diced__vanilla.n.01,cooked__diced__vanilla.n.01
half__veal.n.01,diced__veal.n.01,cooked__diced__veal.n.01
half__venison.n.01,diced__venison.n.01,cooked__diced__venison.n.01
half__vidalia_onion.n.01,diced__vidalia_onion.n.01,cooked__diced__vidalia_onion.n.01
half__virginia_ham.n.01,diced__virginia_ham.n.01,cooked__diced__virginia_ham.n.01
half__waffle.n.01,diced__waffle.n.01,cooked__diced__waffle.n.01
half__walnut.n.01,diced__walnut.n.01,cooked__diced__walnut.n.01
half__watermelon.n.01,diced__watermelon.n.01,cooked__diced__watermelon.n.01
half__white_turnip.n.01,diced__white_turnip.n.01,cooked__diced__white_turnip.n.01
half__whole_garlic.n.01,diced__whole_garlic.n.01,cooked__diced__whole_garlic.n.01
half__yam.n.01,diced__yam.n.01,cooked__diced__yam.n.01
half__zucchini.n.01,diced__zucchini.n.01,cooked__diced__zucchini.n.01
sliced__brisket.n.01,diced__brisket.n.01,cooked__diced__brisket.n.01
sliced__cucumber.n.01,diced__cucumber.n.01,cooked__diced__cucumber.n.01
sliced__eggplant.n.01,diced__eggplant.n.01,cooked__diced__eggplant.n.01
sliced__lemon.n.01,diced__lemon.n.01,cooked__diced__lemon.n.01
sliced__lime.n.01,diced__lime.n.01,cooked__diced__lime.n.01
sliced__melon.n.01,diced__melon.n.01,cooked__diced__melon.n.01
sliced__onion.n.01,diced__onion.n.01,cooked__diced__onion.n.01
sliced__papaya.n.01,diced__papaya.n.01,cooked__diced__papaya.n.01
sliced__roast_beef.n.01,diced__roast_beef.n.01,cooked__diced__roast_beef.n.01
sliced__tomato.n.01,diced__tomato.n.01,cooked__diced__tomato.n.01
half__carrot.n.01,diced__carrot.n.01,cooked__diced__carrot.n.01
half__clove.n.01,diced__clove.n.01,cooked__diced__clove.n.01
half__cookie_dough.n.01,diced__cookie_dough.n.01,cooked__diced__cookie_dough.n.01
half__roll_dough.n.01,diced__roll_dough.n.01,cooked__diced__roll_dough.n.01
half__sourdough.n.01,diced__sourdough.n.01,cooked__diced__sourdough.n.01
