id,category,board link,synset,approved,mass estimate ig2,mass estimate gpt3,mass estimate chatgpt4,mass estimate gpt4,old annotated mass,new annotated mass,mass (auto),description,approval comments
44,shower,shower,shower.n.01,1,236.321,50.000,,8.000,236.321,,29.000,,
45,sink,sink,sink.n.01,1,9.457,30.000,25.000,12.000,9.457,,22.333,,
46,sofa,sofa,sofa.n.01,1,41.599,100.000,45.000,35.000,41.599,,60.000,,
47,speaker_system,speaker_system,loudspeaker.n.01,1,6.532,20.000,20.000,4.500,12.519,,14.833,,
48,stand,stand,stand.n.04,1,18.144,5.000,7.000,5.000,18.144,,5.667,,
49,standing_tv,standing_tv,television_receiver.n.01,1,17.554,25.000,20.000,8.000,17.554,,17.667,,
50,stove,stove,stove.n.01,1,77.564,50.000,75.000,40.000,77.564,,55.000,,
51,straight_chair,straight_chair,straight_chair.n.01,1,9.072,5.000,7.000,5.000,9.072,,5.667,,
52,swivel_chair,swivel_chair,swivel_chair.n.01,1,12.519,8.000,15.000,10.000,12.519,,11.000,,
53,table_lamp,table_lamp,table_lamp.n.01,1,0.807,2.000,2.500,2.000,0.807,,2.167,,
54,toilet,toilet,toilet.n.02,1,33.815,30.000,35.000,30.000,33.815,,31.667,,
55,top_cabinet,top_cabinet,cabinet.n.01,1,22.441,40.000,40.000,35.000,12.247,,38.333,,
56,towel_rack,towel_rack,towel_rack.n.01,1,0.907,2.000,1.500,3.000,0.907,,2.167,,
57,trash_can,trash_can,ashcan.n.01,1,3.175,5.000,2.000,4.000,3.175,,3.667,,
58,treadmill,treadmill,treadmill.n.01,1,73.482,100.000,80.000,90.000,73.482,,90.000,,
59,wall_clock,wall_clock,wall_clock.n.01,1,0.572,2.000,1.000,1.200,0.572,,1.400,,
60,wall_mounted_tv,wall_mounted_tv,television_receiver.n.01,1,17.554,20.000,20.000,8.000,17.554,,16.000,,
61,washer,washer,washer.n.03,1,73.000,70.000,75.000,75.000,73.000,,73.333,,
62,window,window,window.n.01,1,29.257,20.000,,15.000,29.257,20.000,20.000,,
63,apple,apple,apple.n.01,1,0.068,0.200,0.150,0.200,0.090,,0.183,,
64,apricot,apricot,apricot.n.02,1,0.068,0.050,0.040,0.035,0.090,,0.042,,
65,artichoke,artichoke,artichoke.n.02,1,0.010,0.500,0.200,0.300,0.010,,0.333,,
66,banana,banana,banana.n.02,1,0.120,0.100,0.120,0.120,0.120,,0.113,,
67,beet,beet,beet.n.02,1,0.100,0.300,0.175,0.175,0.100,,0.217,,
68,bell_pepper,bell_pepper,bell_pepper.n.02,1,0.252,0.200,0.150,0.200,0.252,,0.183,,
69,bowl,bowl,bowl.n.01,1,0.100,0.500,0.400,0.400,0.100,,0.433,,
70,broccoli,broccoli,broccoli.n.02,1,0.011,0.300,0.300,0.300,0.011,,0.300,,
71,bucket,bucket,bucket.n.01,1,3.000,2.000,1.000,1.000,3.000,,1.333,,
72,bulldog_clip,bulldog_clip,bulldog_clip.n.01,1,0.020,0.050,0.010,0.050,0.020,,0.037,,
73,bulletin_board,bulletin_board,bulletin_board.n.02,1,5.000,2.000,,2.000,5.000,2.000,2.000,,
74,butter,butter,butter.n.01,1,0.465,0.500,0.227,0.250,0.465,,0.326,,
75,caliper,caliper,caliper.n.01,1,0.200,0.100,0.300,0.300,0.200,,0.233,,
76,canned_food,canned_food,canned_food.n.01,1,0.800,0.500,0.400,0.400,0.800,,0.433,,
77,cantaloup,cantaloup,cantaloup.n.02,1,2.000,1.000,1.100,0.500,2.000,,0.867,,
78,carafe,carafe,carafe.n.01,1,0.500,0.500,0.500,0.500,0.500,,0.500,,
79,carrot,carrot,carrot.n.03,1,0.060,0.100,0.060,0.150,0.060,,0.103,,
80,carving_knife,carving_knife,carving_knife.n.01,1,0.306,0.200,0.200,0.200,0.306,,0.200,,
81,casserole,casserole,casserole.n.02,1,1.788,2.000,1.300,1.500,1.788,,1.600,,
82,cherry,cherry,cherry.n.03,1,0.024,0.020,0.010,0.008,0.024,,0.013,,
83,chestnut,chestnut,chestnut.n.03,1,0.008,0.050,0.010,0.008,0.010,,0.023,,
84,chip,chip,chip.n.04,1,0.227,0.010,0.005,0.004,0.227,,0.006,,
85,chives,chives,chives.n.01,1,0.015,0.050,0.005,0.005,0.015,,0.020,,
86,chopping_board,chopping_board,chopping_board.n.01,1,1.451,1.000,0.700,1.200,1.451,,0.967,,
87,garlic_clove,garlic_clove,clove.n.03,1,0.020,0.020,0.003,0.010,0.020,,0.011,,
88,coatrack,coatrack,coatrack.n.01,1,3.871,2.000,5.000,7.000,3.871,,4.667,,
89,colander,colander,colander.n.01,1,0.771,0.500,0.400,0.500,0.771,,0.467,,
90,cruet,cruet,cruet.n.01,1,0.200,0.200,0.300,0.300,0.200,,0.267,,
91,cucumber,cucumber,cucumber.n.02,1,0.386,0.200,0.300,0.200,0.386,,0.233,,
92,digital_scale,digital_scale,scale.n.07,1,1.675,2.000,1.000,1.000,1.750,,1.333,,
93,dinner_napkin,dinner_napkin,dinner_napkin.n.01,1,0.300,0.100,0.020,0.100,0.300,,0.073,,
94,dipper,dipper,dipper.n.01,1,0.150,0.200,0.100,0.300,0.150,,0.200,,
95,dish_rack,dish_rack,dish_rack.n.01,1,4.000,2.000,1.000,1.500,4.000,,1.500,,
96,egg,egg,egg.n.02,1,0.765,0.050,0.050,0.050,0.765,,0.050,,
97,eggplant,eggplant,eggplant.n.01,1,0.451,0.500,0.150,0.200,0.451,,0.283,,
98,frying_pan,frying_pan,frying_pan.n.01,1,2.000,1.500,1.000,2.000,2.000,,1.500,,
99,gooseberry,gooseberry,gooseberry.n.02,1,0.002,0.010,0.010,0.010,0.002,,0.010,,
100,grape,grape,grape.n.01,1,0.150,0.005,0.005,0.005,0.150,,0.005,,
101,grater,grater,grater.n.01,1,0.250,0.200,0.300,0.300,0.250,,0.267,,
102,griddle,griddle,griddle.n.01,1,2.953,2.000,2.000,2.500,2.953,,2.167,,
103,half_apple,half_apple,half__apple.n.01,1,0.068,0.100,0.100,0.090,0.045,,0.097,,
104,half_chestnut,half_chestnut,half__chestnut.n.01,1,0.008,0.020,0.010,0.004,0.005,,0.011,,
105,half_coconut_fruit,half_coconut_fruit,half__coconut.n.01,1,0.525,0.700,0.300,0.400,0.350,,0.467,,
106,half_lemon,half_lemon,half__lemon.n.01,1,0.053,0.060,0.060,0.050,0.035,,0.057,,
107,half_mushroom,half_mushroom,half__mushroom.n.01,1,0.025,0.050,0.010,0.008,0.025,,0.023,,
108,half_orange,half_orange,half__orange.n.01,1,0.060,0.080,0.075,0.075,0.040,,0.077,,
109,half_pineapple,half_pineapple,half__pineapple.n.01,1,0.750,1.200,1.000,1.250,0.500,,1.150,,
110,half_plum,half_plum,half__plum.n.01,1,0.045,0.050,0.030,0.030,0.030,,0.037,,
111,half_pomegranate,half_pomegranate,half__pomegranate.n.01,1,0.191,0.400,0.200,0.200,0.128,,0.267,,
112,half_pomelo,half_pomelo,half__pomelo.n.01,1,0.142,1.500,0.500,0.500,0.098,,0.833,,
113,half_beefsteak_tomato,half_beefsteak_tomato,half__beefsteak_tomato.n.01,1,0.075,0.100,0.125,85.000,0.050,,28.408,,
114,head_cabbage,head_cabbage,head_cabbage.n.02,1,1.093,1.500,1.000,1.000,1.093,,1.167,,
115,honing_steel,honing_steel,steel.n.03,1,0.299,0.200,0.300,0.400,0.299,,0.300,,
116,jar,jar,mason_jar.n.01,1,8.000,0.500,0.500,0.500,8.000,,0.500,,
117,kettle,kettle,kettle.n.01,1,1.200,2.000,1.000,1.000,1.200,,1.333,,
118,kitchen_analog_scale,kitchen_analog_scale,scale.n.07,1,1.675,0.500,1.000,4.000,1.600,,1.833,,
119,kiwi,kiwi,kiwi.n.03,1,0.057,0.100,0.075,0.100,0.076,,0.092,,
120,lemon,lemon,lemon.n.01,1,0.053,0.100,0.120,0.150,0.070,,0.123,,
121,lettuce,lettuce,lettuce.n.03,1,0.030,0.200,0.500,0.500,0.030,,0.400,,
122,lid,lid,lid.n.02,1,0.650,0.100,0.200,0.400,0.650,,0.233,,
123,mug,mug,mug.n.04,1,0.400,0.300,0.400,0.400,0.400,,0.367,,
124,mushroom,mushroom,mushroom.n.05,1,0.025,0.050,0.020,0.020,0.025,,0.030,,
125,olive,olive,olive.n.04,1,0.400,0.010,0.005,0.005,0.400,,0.007,,
126,bottle_of_olive_oil,bottle_of_olive_oil,bottle__of__olive_oil.n.01,1,0.150,1.000,1.000,0.900,0.150,,0.967,,
127,orange,orange,orange.n.01,1,0.060,0.200,0.150,0.200,0.080,,0.183,,
128,paper_clip,paper_clip,paper_clip.n.01,1,0.001,0.002,0.001,0.001,0.001,,0.001,,
129,paper_towel,paper_towel,paper_towel.n.01,1,0.730,0.010,0.010,0.020,0.730,,0.013,,
130,paper_towel_holder,paper_towel_holder,paper_towel_holder.n.01,1,0.454,0.500,0.500,0.500,0.454,,0.500,,
131,parsley,parsley,parsley.n.02,1,0.005,0.050,0.020,0.050,0.005,,0.040,,
132,pea,pea,pea.n.01,1,0.005,0.002,0.002,0.005,0.005,,0.003,,
133,peach,peach,peach.n.03,1,0.068,0.200,0.150,0.200,0.090,,0.183,,
134,pear,pear,pear.n.01,1,0.142,0.200,0.180,0.200,0.186,,0.193,,
135,pen,pen,pen.n.01,1,0.020,0.010,0.010,0.010,0.020,,0.010,,
136,pencil,pencil,pencil.n.01,1,0.007,0.010,0.010,0.006,0.007,,0.009,,
137,pencil_box,pencil_box,pencil_box.n.01,1,0.080,0.200,0.200,0.200,0.080,,0.200,,
138,pepper_grinder,pepper_grinder,pepper_mill.n.01,1,0.226,0.200,0.500,0.300,0.226,,0.333,,
139,pineapple,pineapple,pineapple.n.02,1,0.750,1.500,2.000,2.000,1.000,,1.833,,
140,pistachio,pistachio,pistachio.n.02,1,0.001,0.010,0.001,0.001,0.001,,0.004,,
141,plum,plum,plum.n.02,1,0.045,0.050,0.070,0.080,0.060,,0.067,,
142,pomegranate,pomegranate,pomegranate.n.02,1,0.191,0.400,0.400,0.250,0.255,,0.350,,
143,pomelo,pomelo,pomelo.n.02,1,0.142,1.500,1.000,1.000,0.186,,1.167,,
144,pop_case,pop_case,case__of__pop.n.01,1,2.520,0.500,5.000,9.000,4.640,,4.833,,
145,potato,potato,potato.n.01,1,0.678,0.200,0.200,0.200,0.678,,0.200,,
146,pumpkin,pumpkin,pumpkin.n.02,1,2.000,3.000,4.000,4.500,2.000,,3.833,,
147,radish,radish,radish.n.01,1,0.450,0.100,0.020,0.025,0.450,,0.048,,
148,raspberry,raspberry,raspberry.n.02,1,0.001,0.005,0.003,0.002,0.001,,0.003,,
149,rosehip,rosehip,hip.n.05,1,0.030,0.010,0.005,0.005,0.030,,0.007,,
150,saucepan,saucepan,saucepan.n.01,1,1.500,1.000,1.500,1.000,1.500,,1.167,,
151,soup_ladle,soup_ladle,soup_ladle.n.01,1,0.200,0.200,0.150,0.100,0.200,,0.150,,
152,spatula,spatula,spatula.n.01,1,0.082,0.100,0.100,0.100,0.082,,0.100,,
153,spinach,spinach,spinach.n.02,1,0.091,0.200,0.030,0.020,0.091,,0.083,,
154,sticky_note,sticky_note,sticky_note.n.01,1,0.100,0.010,0.005,0.020,0.100,,0.012,,
155,straight_pin,straight_pin,straight_pin.n.01,1,0.000,0.000,0.001,0.001,0.000,,0.001,,
156,strawberry,strawberry,strawberry.n.01,1,0.008,0.020,0.015,0.012,0.010,,0.016,,
157,sweet_corn,sweet_corn,sweet_corn.n.02,1,0.600,0.200,0.250,0.300,0.600,,0.250,,
158,table_knife,table_knife,table_knife.n.01,1,0.060,0.100,0.080,0.080,0.060,,0.087,,
159,tablefork,tablefork,tablefork.n.01,1,0.050,0.100,0.070,0.070,0.050,,0.080,,
160,teapot,teapot,teapot.n.01,1,3.300,0.500,1.000,1.000,3.300,,0.833,,
161,thumbtack,thumbtack,thumbtack.n.01,1,0.000,0.001,0.001,0.002,0.000,,0.001,,
162,toasting_fork,toasting_fork,toasting_fork.n.01,1,0.045,0.200,0.100,0.300,0.045,,0.200,,
163,tongs,tongs,tongs.n.01,1,0.257,0.500,0.200,0.300,0.257,,0.333,,
164,vidalia_onion,vidalia_onion,vidalia_onion.n.01,1,0.130,0.200,0.150,0.150,0.130,,0.167,,
165,walnut,walnut,walnut.n.01,1,0.020,0.020,0.015,0.015,0.020,,0.017,,
166,watermelon,watermelon,watermelon.n.02,1,8.000,10.000,9.000,9.000,8.000,,9.333,,
167,whiteboard,whiteboard,display_panel.n.01,1,7.000,5.000,7.000,10.000,7.000,,7.333,,
168,bottle_of_wine,bottle_of_wine,bottle__of__wine.n.01,1,1.200,1.500,1.200,1.500,1.200,,1.400,,
169,zucchini,zucchini,zucchini.n.02,1,0.500,0.300,0.200,0.300,0.500,,0.267,,
170,gym_shoe,gym_shoe,gym_shoe.n.01,1,0.344,0.500,0.400,0.750,0.344,,0.550,,
171,video_game,video_game,computer_game.n.01,1,0.400,0.200,0.100,0.100,0.400,,0.133,,
172,board_game,board_game,board_game.n.01,1,0.680,1.000,1.200,1.200,0.680,,1.133,,
173,walker,walker,walker.n.04,1,0.400,0.500,2.500,0.800,0.400,,1.267,,
174,sandal,sandal,sandal.n.01,1,0.175,0.300,0.300,0.500,0.175,,0.367,,
175,hat,hat,hat.n.01,1,0.114,0.100,0.100,0.300,0.114,,0.167,,
176,bottle_of_protein_powder,bottle_of_protein_powder,bottle__of__protein_powder.n.01,1,0.921,1.000,1.100,0.900,0.921,,1.000,,
177,keyboard,keyboard,keyboard.n.01,1,0.846,1.000,0.900,0.800,0.846,,0.900,,
178,headset,headset,headset.n.01,1,0.280,0.100,0.300,0.250,0.280,,0.217,,
179,mouse,mouse,mouse.n.04,1,0.100,0.100,0.100,0.100,0.100,,0.100,,
180,hard_drive,hard_drive,disk_drive.n.01,1,0.227,0.500,0.600,0.500,0.227,,0.533,,
181,hammer,hammer,hammer.n.02,1,0.699,1.000,1.500,1.000,0.699,,1.167,,
182,bath_towel,bath_towel,bath_towel.n.01,1,0.713,0.500,0.600,0.500,0.713,,0.533,,
183,dishtowel,dishtowel,dishtowel.n.01,1,0.140,0.100,0.100,0.100,0.140,,0.100,,
184,hand_towel,hand_towel,hand_towel.n.01,1,0.200,0.050,0.100,0.200,0.200,,0.117,,
185,envelope,envelope,envelope.n.01,1,0.007,0.010,0.010,0.008,0.007,,0.009,,
186,box_of_chocolates,box_of_chocolates,box__of__chocolates.n.01,1,0.800,0.200,0.500,0.400,0.800,,0.367,,
187,box_of_crackers,box_of_crackers,box__of__crackers.n.01,1,0.250,0.200,0.250,0.250,0.198,,0.233,,supersynset of pretzel
188,t_shirt,t_shirt,jersey.n.03,1,0.295,0.200,0.200,0.200,0.295,,0.200,,
189,candy_cane,candy_cane,candy_cane.n.01,1,0.028,0.020,0.028,0.050,0.028,,0.033,,
190,shampoo,shampoo,shampoo.n.01,1,0.957,0.500,0.400,0.400,0.957,,0.433,,
191,folderal,folderal,folderal.n.01,1,0.127,0.010,0.500,0.500,0.127,,0.337,,
192,light_bulb,light_bulb,light_bulb.n.01,1,0.202,0.050,0.030,0.100,0.202,,0.060,,
193,wall_socket,wall_socket,wall_socket.n.01,1,0.075,0.100,0.150,0.200,0.075,,0.150,,
194,bell,bell,bell.n.01,1,0.080,1.000,1.000,1.500,0.080,,1.167,,
195,baseboard,baseboard,baseboard.n.01,1,0.400,2.000,2.000,5.000,0.400,,3.000,,
196,plywood,plywood,plywood.n.01,1,0.475,600.000,25.000,600.000,0.475,,408.333,,
197,tile,tile,tile.n.01,1,2.200,2.000,1.800,1.200,2.200,,1.667,,
198,clout_nail,clout_nail,clout_nail.n.01,1,0.001,0.005,0.010,0.010,0.001,,0.008,,
199,hinge,hinge,hinge.n.01,1,0.397,0.500,0.075,0.300,0.397,,0.292,,
200,screwdriver,screwdriver,screwdriver.n.01,1,0.152,0.200,0.150,0.200,0.152,,0.183,,
201,pocketknife,pocketknife,pocketknife.n.01,1,0.126,0.100,0.150,0.200,0.126,,0.150,,
202,hardback,hardback,hardback.n.01,1,0.450,0.500,1.000,1.000,0.450,,0.833,,
203,notebook,notebook,notebook.n.01,1,0.420,0.200,0.500,0.500,0.420,,0.400,,
204,hairbrush,hairbrush,hairbrush.n.01,1,0.150,0.100,0.100,0.100,0.150,,0.100,,
205,chili,chili,chili.n.02,1,0.030,0.020,0.045,0.015,0.030,,0.027,,
206,hamburger,hamburger,hamburger.n.01,1,0.200,0.100,0.200,0.200,0.200,,0.167,,
207,tray,tray,tray.n.01,1,1.796,0.500,0.500,0.700,1.796,,0.567,,
208,toothpick,toothpick,toothpick.n.01,1,0.000,0.001,0.000,0.001,0.000,,0.001,,
209,plate,plate,plate.n.04,1,0.400,0.500,0.600,0.500,0.400,,0.533,,
210,dart,dart,dart.n.01,1,0.024,0.050,0.020,0.025,0.024,,0.032,,
211,dartboard,dartboard,dartboard.n.01,1,4.000,5.000,3.500,2.000,4.000,,3.500,,
212,blender,blender,blender.n.01,1,2.703,3.000,1.500,2.000,2.703,,2.167,,
213,straw,straw,straw.n.04,1,0.042,0.001,0.001,0.002,0.042,,0.001,,
214,folder,folder,folder.n.02,1,0.337,0.100,0.250,0.020,0.337,,0.123,,
215,calculator,calculator,calculator.n.02,1,0.118,0.200,0.100,0.200,0.118,,0.167,,
216,necklace,necklace,necklace.n.01,1,0.005,0.050,0.050,0.100,0.005,,0.067,,
217,bracelet,bracelet,bracelet.n.02,1,0.020,0.020,0.030,0.100,0.020,,0.050,,
218,ring,ring,ring.n.08,1,0.004,0.010,0.015,0.015,0.004,,0.013,,
219,platter,platter,platter.n.01,1,1.650,2.000,1.500,1.200,1.650,,1.567,,
220,cauldron,cauldron,caldron.n.01,1,2.000,20.000,5.000,5.000,2.000,,10.000,,
221,coffee_cup,coffee_cup,coffee_cup.n.01,1,0.454,0.200,0.350,0.400,0.454,,0.317,,
222,bow,bow,bow.n.08,1,0.120,0.100,0.050,0.100,0.120,,0.083,,
223,wreath,wreath,wreath.n.01,1,0.150,1.000,1.000,1.000,0.150,,1.000,,
224,chopstick,chopstick,chopstick.n.01,1,0.081,0.020,0.020,0.005,0.081,,0.015,,
225,sushi,sushi,sushi.n.01,1,0.090,0.100,0.075,0.100,0.090,,0.092,,
226,broom,broom,broom.n.01,1,0.583,1.000,1.000,1.000,0.583,,1.000,,
227,carpet_sweeper,carpet_sweeper,carpet_sweeper.n.01,1,1.430,2.000,2.500,3.000,1.430,,2.500,,
228,jeans,jeans,jean.n.01,1,0.400,0.500,0.700,0.700,0.400,,0.633,,
229,paintbrush,paintbrush,paintbrush.n.01,1,0.220,0.100,0.050,0.100,0.220,,0.083,,
230,pajamas,pajamas,pajama.n.02,1,0.200,0.500,0.300,0.500,0.200,,0.433,,
231,pegboard,pegboard,pegboard.n.01,1,1.100,2.000,10.000,2.000,1.100,,4.667,,
232,scrub_brush,scrub_brush,scrub_brush.n.01,1,0.078,0.200,0.350,0.200,0.078,,0.250,,
233,sock,sock,sock.n.01,1,0.080,0.100,0.065,0.050,0.080,,0.072,,
234,trowel,trowel,trowel.n.01,1,0.147,0.500,0.400,0.400,0.147,,0.433,,
235,vacuum,vacuum,vacuum.n.04,1,5.440,5.400,5.000,7.500,5.440,,5.967,,
236,umbrella,umbrella,umbrella.n.01,1,0.408,0.500,0.500,0.500,0.408,,0.500,,
237,toaster,toaster,toaster.n.02,1,1.542,1.200,1.500,1.500,1.542,,1.400,,
238,iron,iron,iron.n.04,1,1.372,1.500,1.300,1.500,1.372,,1.433,,
239,hook,hook,hook.n.05,1,1.800,0.100,0.020,0.200,1.800,,0.107,,
240,car,car,car.n.01,1,"1,204.000","1,500.000","1,500.000","1,500.000","1,204.000",,1500.000,,
241,drill,drill,drill.n.01,1,1.814,2.500,1.500,1.500,1.814,,1.833,,
242,dustpan,dustpan,dustpan.n.02,1,0.400,0.300,0.250,0.500,0.400,,0.350,,
243,lawn_mower,lawn_mower,lawn_mower.n.01,1,17.010,30.000,30.000,40.000,17.010,,33.333,,
244,painting,painting,painting.n.01,1,0.600,2.500,3.000,2.500,0.600,,2.667,,
245,bottle_of_powder,bottle_of_powder,bottle__of__powder.n.01,1,0.227,0.500,1.200,0.500,0.227,,0.733,,
246,rake,rake,rake.n.03,1,1.157,1.000,1.500,1.200,1.157,,1.233,,
247,scraper,scraper,scraper.n.01,1,0.154,0.200,0.500,0.250,0.154,,0.317,,
248,ladder,ladder,ladder.n.01,1,7.711,5.000,10.000,10.000,7.711,,8.333,,
249,toothbrush,toothbrush,toothbrush.n.01,1,0.020,0.030,0.020,0.050,0.020,,0.033,,
250,chicken,chicken,chicken.n.01,1,1.361,1.500,1.500,1.500,1.361,,1.500,,
251,dress,dress,dress.n.01,1,0.295,0.500,0.500,0.700,0.295,,0.567,,
252,hanger,hanger,hanger.n.02,1,0.100,0.100,0.100,0.050,0.100,,0.083,,
253,pork,pork,pork.n.01,1,0.454,1.500,1.000,100.000,0.454,,34.167,,
254,rib,rib,rib.n.03,1,0.400,0.500,0.300,0.400,0.400,,0.400,,
255,steak,steak,steak.n.01,1,0.225,0.200,0.350,0.500,0.225,,0.350,,
256,jar_of_sugar,jar_of_sugar,jar__of__sugar.n.01,1,0.454,1.000,1.500,1.000,0.454,,1.167,,
257,crab,crab,crab.n.05,1,0.750,0.500,0.600,0.300,0.750,,0.467,,
258,fillet,fillet,fillet.n.02,1,0.494,0.200,0.200,0.150,0.494,,0.183,,
259,magazine,magazine,magazine.n.02,1,0.240,0.300,0.250,0.200,0.240,,0.250,,
260,newspaper,newspaper,newspaper.n.03,1,0.021,0.200,0.100,0.100,0.021,,0.133,,
261,muffin,muffin,muffin.n.01,1,0.120,0.100,0.100,0.100,0.120,,0.100,,
262,ice_cube,ice_cube,ice_cube.n.01,1,0.014,0.010,0.030,0.030,0.014,,0.023,,
263,cinnamon,cinnamon,cinnamon.n.03,1,0.107,0.050,0.200,0.005,0.107,,0.085,,
264,lime,lime,lime.n.06,1,0.090,0.100,0.130,0.100,0.090,,0.110,,
265,almond,almond,almond.n.02,1,0.040,0.001,0.002,0.001,0.040,,0.001,,
266,grill,grill,grill.n.02,1,10.700,10.000,15.000,5.000,10.700,,10.000,,
267,bagel,bagel,bagel.n.01,1,0.105,0.100,0.085,0.085,0.105,,0.090,,
268,baguette,baguette,baguet.n.01,1,0.440,0.200,0.250,0.250,0.440,,0.233,,
269,basil,basil,basil.n.03,1,0.029,0.050,0.005,0.020,0.029,,0.025,,
270,celery,celery,celery.n.02,1,0.250,0.200,0.400,0.400,0.250,,0.333,,
271,cupcake,cupcake,cupcake.n.01,1,0.080,0.050,0.100,0.080,0.080,,0.077,,
272,green_onion,green_onion,green_onion.n.01,1,0.078,0.050,0.015,0.015,0.090,,0.027,,
273,lasagna,lasagna,lasagna.n.01,1,0.297,1.000,0.850,1.200,0.297,,1.017,,
274,mousetrap,mousetrap,mousetrap.n.01,1,0.124,0.100,0.100,0.100,0.124,,0.100,,
275,pretzel,pretzel,pretzel.n.01,1,0.302,0.050,0.030,0.030,0.302,,0.037,,
276,prosciutto,prosciutto,prosciutto.n.01,1,0.800,0.500,0.050,0.100,0.800,,0.217,,
277,razor,razor,razor.n.01,1,0.034,0.100,0.050,0.100,0.034,,0.083,,
