Object name,Valid Name,Original category (auto),ID (auto),New Category,Original Synset (auto),New Synset (auto),Duplicate?,Exists in deletion?
chocolate_bar-tidcst,1,chocolate_bar,tidcst,pack_of_chocolate_bar,chocolate_bar.n.01,pack__of__chocolate_bar.n.01,0,0
chocolate_bar-wgrkhn,1,chocolate_bar,wgrkhn,pack_of_chocolate_bar,chocolate_bar.n.01,pack__of__chocolate_bar.n.01,0,0
chocolate_box-dlhqft,1,chocolate_box,dlhqft,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
chocolate_box-jodwfv,1,chocolate_box,jodwfv,box_of_candy,#N/A,box__of__candy.n.01,0,0
chocolate_box-mlmrwy,1,chocolate_box,mlmrwy,box_of_wagashi,#N/A,box__of__wagashi.n.01,0,0
cutting_board-cvkfkz,1,cutting_board,cvkfkz,firewood_chopping_block,chopping_board.n.01,firewood_chopping_block.n.01,0,0
cigarette_pack-ajphvf,1,cigarette_pack,ajphvf,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-cfmlhf,1,cigarette_pack,cfmlhf,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-dthkix,1,cigarette_pack,dthkix,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-ghbqav,1,cigarette_pack,ghbqav,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-gzxueq,1,cigarette_pack,gzxueq,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-hmhqkq,1,cigarette_pack,hmhqkq,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-ipmejr,1,cigarette_pack,ipmejr,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-kienyo,1,cigarette_pack,kienyo,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-ohpqua,1,cigarette_pack,ohpqua,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-ppbmak,1,cigarette_pack,ppbmak,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-qabdgg,1,cigarette_pack,qabdgg,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-qldhnm,1,cigarette_pack,qldhnm,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-rmrubd,1,cigarette_pack,rmrubd,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-tngixy,1,cigarette_pack,tngixy,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-wjfbhw,1,cigarette_pack,wjfbhw,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
cigarette_pack-wpmpcf,1,cigarette_pack,wpmpcf,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0,0
clam-nekgsq,1,clam,nekgsq,seashell,clam.n.03,seashell.n.01,0,0
coconut_water-lsixio,1,coconut_water,lsixio,bottle_of_coconut_water,#N/A,bottle__of__coconut_water.n.01,0,0
coffee_box-mreyla,1,coffee_box,mreyla,box_of_coffee,#N/A,box__of__coffee.n.01,0,0
conditioner-elofnb,1,conditioner,elofnb,conditioner_dispenser,#N/A,conditioner__dispenser.n.01,0,0
conditioner-udeflt,1,conditioner,udeflt,conditioner_dispenser,#N/A,conditioner__dispenser.n.01,0,0
conditioner-uncljo,1,conditioner,uncljo,conditioner_dispenser,#N/A,conditioner__dispenser.n.01,0,0
cooking_oil-ywrkyg,1,cooking_oil,ywrkyg,bottle_of_cooking_oil,#N/A,bottle__of__cooking_oil.n.01,0,0
crate-cjhskr,1,crate,cjhskr,packing_box,#N/A,packing_box.n.02,0,0
creamer_single-njrpai,1,creamer_single,njrpai,box_of_cream,#N/A,box__of__cream.n.01,0,0
yogurt_cup-rypdvd,1,yogurt_cup,rypdvd,coffee_cup,#N/A,coffee_cup.n.01,0,0
egg_carton-rixhgu,1,egg_carton,rixhgu,carton_of_eggs,#N/A,carton__of__eggs.n.01,0,0
egg_carton-stxfxb,1,egg_carton,stxfxb,carton_of_eggs,#N/A,carton__of__eggs.n.01,0,0
egg_carton-tacdgl,1,egg_carton,tacdgl,carton_of_eggs,#N/A,carton__of__eggs.n.01,0,0
floor_hanger-tcnxtu,1,floor_hanger,tcnxtu,coatrack,#N/A,coatrack.n.01,0,0
flour-fntqmd,1,flour,fntqmd,bag_of_flour,flour.n.01,bag__of__flour.n.01,0,0
fruit_punch-azcigi,1,fruit_punch,azcigi,bottle_of_fruit_punch,#N/A,bottle__of__fruit_punch.n.01,0,0
fruit_punch-ykfnwi,1,fruit_punch,ykfnwi,bottle_of_fruit_punch,#N/A,bottle__of__fruit_punch.n.01,0,0
garlic_sauce-ucnmax,1,garlic_sauce,ucnmax,bottle_of_garlic_sauce,#N/A,bottle__of__garlic_sauce.n.01,0,0
ginger_beer-zkocwb,1,ginger_beer,zkocwb,bottle_of_ginger_beer,#N/A,bottle__of__ginger_beer.n.01,0,0
diced_green_onion-fjafda,1,diced_green_onion,fjafda,diced__green_onion,#N/A,diced__green_onion.n.01,0,0
diced_green_onion-iwoaoo,1,diced_green_onion,iwoaoo,diced__green_onion,#N/A,diced__green_onion.n.01,0,0
diced_green_onion-lwuaas,1,diced_green_onion,lwuaas,diced__green_onion,#N/A,diced__green_onion.n.01,0,0
hamburger-rerdmy,1,hamburger,rerdmy,wrapped_hamburger,hamburger.n.01,wrapped_hamburger.n.01,0,0
coatrack-mdnfjr,1,coatrack,mdnfjr,hook_rack,coatrack.n.01,hook_rack.n.01,0,0
hot_sauce-zqhkzh,1,hot_sauce,zqhkzh,bottle_of_hot_sauce,#N/A,bottle__of__hot_sauce.n.01,0,0
isopropanol-mjcbfc,1,isopropanol,mjcbfc,isopropanol_dispenser,#N/A,isopropanol__dispenser.n.01,0,0
lemon_sauce-iyijeb,1,lemon_sauce,iyijeb,bottle_of_lemon_sauce,#N/A,bottle__of__lemon_sauce.n.01,0,0
lime_juice-ouuhaa,1,lime_juice,ouuhaa,bottle_of_lime_juice,#N/A,bottle__of__lime_juice.n.01,0,0
sliced_lime-wdadtn,1,sliced_lime,wdadtn,half_lime,#N/A,half__lime.n.01,0,0
lotion-tkryrh,1,lotion,tkryrh,bottle_of_lotion,#N/A,bottle__of__lotion.n.01,0,0
mayonnaise-gjwjet,1,mayonnaise,gjwjet,jar_of_mayonnaise,#N/A,jar__of__mayonnaise.n.01,0,0
mix-blrqqz,1,mix,blrqqz,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0,0
mix-fmewsz,1,mix,fmewsz,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0,0
mix-fnbgwd,1,mix,fnbgwd,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0,0
mix-fpbxfp,1,mix,fpbxfp,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0,0
mix-lgusnr,1,mix,lgusnr,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0,0
mix-ltccey,1,mix,ltccey,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0,0
mix-luwlfd,1,mix,luwlfd,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0,0
mix-ohtiap,1,mix,ohtiap,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0,0
mix-orwvfx,1,mix,orwvfx,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0,0
mix-qkvqkm,1,mix,qkvqkm,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0,0
mix-rxorlp,1,mix,rxorlp,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0,0
mix-xcxrek,1,mix,xcxrek,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0,0
mix-xefopo,1,mix,xefopo,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0,0
mushroom_sauce-xamfxi,1,mushroom_sauce,xamfxi,bottle_of_mushroom_sauce,#N/A,bottle__of__mushroom_sauce.n.01,0,0
mustard-qbbqat,1,mustard,qbbqat,bottle_of_mustard,#N/A,bottle__of__mustard.n.01,0,0
oatmeal-qyukhm,1,oatmeal,qyukhm,can_of_oatmeal,#N/A,can__of__oatmeal.n.01,0,0
olive_oil-ajswsh,1,olive_oil,ajswsh,bottle_of_olive_oil,#N/A,bottle__of__olive_oil.n.01,0,0
olive_oil-jocrsz,1,olive_oil,jocrsz,bottle_of_olive_oil,#N/A,bottle__of__olive_oil.n.01,0,0
olive_oil-ksxqkk,1,olive_oil,ksxqkk,bottle_of_olive_oil,#N/A,bottle__of__olive_oil.n.01,0,0
olive_oil-wztvie,1,olive_oil,wztvie,bottle_of_olive_oil,#N/A,bottle__of__olive_oil.n.01,0,0
orange_sauce-xfxfig,1,orange_sauce,xfxfig,jar_of_orange_sauce,#N/A,jar__of__orange_sauce.n.01,0,0
paint_bucket-qbqche,1,paint_bucket,qbqche,bucket_of_paint,#N/A,bucket__of__paint.n.01,0,0
pesto-hyeetr,1,pesto,hyeetr,bottle_of_pesto,#N/A,bottle__of__pesto.n.01,0,0
pool-kohria,1,pool,kohria,swimming_pool,#N/A,swimming_pool.n.01,0,0
pool-qjhauf,1,pool,qjhauf,swimming_pool,#N/A,swimming_pool.n.01,0,0
pool-vnvmkx,1,pool,vnvmkx,swimming_pool,#N/A,swimming_pool.n.01,0,0
pop_bottle-cmqubs,1,pop_bottle,cmqubs,bottle_of_pop,#N/A,bottle__of__pop.n.01,0,0
pop_bottle-eyazzi,1,pop_bottle,eyazzi,bottle_of_pop,#N/A,bottle__of__pop.n.01,0,0
pop_bottle-gkwdyt,1,pop_bottle,gkwdyt,bottle_of_pop,#N/A,bottle__of__pop.n.01,0,0
pop_bottle-iynssk,1,pop_bottle,iynssk,bottle_of_pop,#N/A,bottle__of__pop.n.01,0,0
pop_bottle-tfvmik,1,pop_bottle,tfvmik,bottle_of_pop,#N/A,bottle__of__pop.n.01,0,0
pop_bottle-twtsry,1,pop_bottle,twtsry,bottle_of_pop,#N/A,bottle__of__pop.n.01,0,0
pop_bottle-uwdeok,1,pop_bottle,uwdeok,bottle_of_pop,#N/A,bottle__of__pop.n.01,0,0
pop_bottle-wuuoes,1,pop_bottle,wuuoes,bottle_of_pop,#N/A,bottle__of__pop.n.01,0,0
pop_bottle-xvxcvv,1,pop_bottle,xvxcvv,bottle_of_pop,#N/A,bottle__of__pop.n.01,0,0
pop_bottle-zjbqvb,1,pop_bottle,zjbqvb,bottle_of_pop,#N/A,bottle__of__pop.n.01,0,0
pop_bottle-zsisxf,1,pop_bottle,zsisxf,bottle_of_pop,#N/A,bottle__of__pop.n.01,0,0
pop-evcxlr,1,pop,evcxlr,can_of_soda,#N/A,can__of__soda.n.01,0,0
pop-frewxk,1,pop,frewxk,can_of_soda,#N/A,can__of__soda.n.01,0,0
pop-lugwcz,1,pop,lugwcz,can_of_soda,#N/A,can__of__soda.n.01,0,0
pop-wbrrad,1,pop,wbrrad,can_of_soda,#N/A,can__of__soda.n.01,0,0
pop-xmjfcg,1,pop,xmjfcg,can_of_soda,#N/A,can__of__soda.n.01,0,0
ramekin-belcml,1,ramekin,belcml,bowl,#N/A,bowl.n.01,0,0
ramekin-eawgwj,1,ramekin,eawgwj,bowl,#N/A,bowl.n.01,0,0
rice_bag-eddcjz,1,rice_bag,eddcjz,bag_of_rice,#N/A,bag__of__rice.n.01,0,0
rice_bag-jzjqjb,1,rice_bag,jzjqjb,bag_of_rice,#N/A,bag__of__rice.n.01,0,0
rice_bag-xcokwx,1,rice_bag,xcokwx,bag_of_rice,#N/A,bag__of__rice.n.01,0,0
rice_box-fvulow,1,rice_box,fvulow,box_of_rice,#N/A,box__of__rice.n.01,0,0
rice_box-pstqvm,1,rice_box,pstqvm,box_of_rice,#N/A,box__of__rice.n.01,0,0
rice_box-yyheuw,1,rice_box,yyheuw,box_of_rice,#N/A,box__of__rice.n.01,0,0
rum_bottle-rduqdf,1,rum_bottle,rduqdf,bottle_of_rum,rum__bottle.n.01,bottle__of__rum.n.01,0,0
sake_bottle-hbpenm,1,sake_bottle,hbpenm,bottle_of_sake,#N/A,bottle__of__sake.n.01,0,0
sake_bottle-luadgb,1,sake_bottle,luadgb,bottle_of_sake,#N/A,bottle__of__sake.n.01,0,0
sake_bottle-mvvomd,1,sake_bottle,mvvomd,bottle_of_sake,#N/A,bottle__of__sake.n.01,0,0
sake_bottle-pwtebq,1,sake_bottle,pwtebq,bottle_of_sake,#N/A,bottle__of__sake.n.01,0,0
sake_bottle-rctijo,1,sake_bottle,rctijo,bottle_of_sake,#N/A,bottle__of__sake.n.01,0,0
sake_bottle-swlykk,1,sake_bottle,swlykk,bottle_of_sake,#N/A,bottle__of__sake.n.01,0,0
sake_bottle-utwglw,1,sake_bottle,utwglw,bottle_of_sake,#N/A,bottle__of__sake.n.01,0,0
sake_bottle-vfxfuj,1,sake_bottle,vfxfuj,bottle_of_sake,#N/A,bottle__of__sake.n.01,0,0
sake_bottle-zrkfim,1,sake_bottle,zrkfim,bottle_of_sake,#N/A,bottle__of__sake.n.01,0,0
scissors-glbxff,1,scissors,glbxff,shears,#N/A,shears.n.01,0,0
shampoo-eblcnw,1,shampoo,eblcnw,shampoo_dispenser,#N/A,shampoo__dispenser.n.01,0,0
shampoo-lvvkhx,1,shampoo,lvvkhx,bottle_of_shampoo,#N/A,bottle__of__shampoo.n.01,0,0
shampoo-ndrvvm,1,shampoo,ndrvvm,shampoo_dispenser,#N/A,shampoo__dispenser.n.01,0,0
shampoo-stjjjm,1,shampoo,stjjjm,bottle_of_shampoo,#N/A,bottle__of__shampoo.n.01,0,0
shampoo-tnfhlf,1,shampoo,tnfhlf,shampoo_dispenser,#N/A,shampoo__dispenser.n.01,0,0
shampoo-vnyzbu,1,shampoo,vnyzbu,shampoo_dispenser,#N/A,shampoo__dispenser.n.01,0,0
sliding_door-xqdonc,1,sliding_door,xqdonc,door,door.n.01,door.n.01,0,0
sliding_door-zlxolj,1,sliding_door,zlxolj,door,door.n.01,door.n.01,0,0
soap_dispenser-eywylh,1,soap_dispenser,eywylh,shampoo_dispenser,soap_dispenser.n.01,shampoo__dispenser.n.01,0,0
soap_dispenser-nrthyl,1,soap_dispenser,nrthyl,shampoo_dispenser,soap_dispenser.n.01,shampoo__dispenser.n.01,0,0
soap_dispenser-thurmw,1,soap_dispenser,thurmw,shampoo_dispenser,soap_dispenser.n.01,shampoo__dispenser.n.01,0,0
soap_dispenser-zoyyia,1,soap_dispenser,zoyyia,shampoo_dispenser,soap_dispenser.n.01,shampoo__dispenser.n.01,0,0
soda_can-bfrzvk,1,soda_can,bfrzvk,can_of_soda,#N/A,can__of__soda.n.01,0,0
soda_can-eqyqlx,1,soda_can,eqyqlx,bottle_of_soda,#N/A,bottle__of__soda.n.01,0,0
